,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,0,19,5,8,3,6,7
1,1,7,10,5,15,17,1,0
2,2,0,2,11,17,9,18,8
3,3,10,20,6,19,0,15,8
4,4,19,11,17,4,20,0,13
5,5,8,4,2,14,6,13,17
6,6,17,10,0,8,12,16,14
7,7,9,5,10,15,14,1,18
8,8,8,18,2,16,0,13,9
9,9,14,19,1,7,10,2,0
10,10,0,11,8,12,13,1,16
11,11,1,14,4,18,11,3,16
12,12,3,15,5,13,9,14,18
13,13,0,11,1,2,19,17,8
14,14,12,7,3,17,18,14,6
15,15,8,18,9,0,10,2,6
16,16,13,15,20,6,9,4,16
17,17,20,14,15,12,7,17,18
18,18,8,6,3,4,10,16,18
19,19,10,19,1,17,14,4,5
20,20,5,10,17,6,7,11,1
21,21,1,11,20,2,5,0,7
22,22,12,8,19,10,14,6,13
23,23,12,14,7,4,8,19,11
24,24,14,0,5,4,1,8,10
25,25,20,13,6,2,9,14,12
26,26,19,16,12,17,2,0,15
27,27,14,6,1,19,10,7,15
28,28,16,7,4,18,19,2,17
29,29,8,17,0,5,16,18,9
30,30,16,13,12,4,5,0,7
31,31,6,5,3,20,8,13,18
32,32,4,2,7,8,16,14,9
33,33,2,16,4,17,12,5,8
34,34,13,11,5,14,0,2,3
35,35,1,17,10,3,18,12,13
36,36,4,7,12,2,10,3,15
37,37,20,16,17,2,18,1,3
38,38,7,19,13,16,8,5,0
39,39,18,17,15,11,13,20,2
40,40,6,0,10,20,19,14,8
41,41,20,2,19,13,11,16,10
42,42,3,7,12,4,15,10,13
43,43,15,6,19,20,4,17,12
44,44,20,12,8,14,9,15,2
45,45,18,15,16,1,19,14,11
46,46,13,2,19,7,17,8,16
47,47,2,5,15,19,7,4,3
48,48,12,5,7,6,19,4,0
