,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6,tube7,tube8,tube9,tube10,tube11,tube12,tube13,tube14,tube15,tube16,tube17,tube18,tube19,tube20
22,22.0,15.0,15.0,15.0,13.0,13.0,13.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,4.0,4.0,4.0
23,23.0,14.0,14.0,14.0,11.0,11.0,11.0,3.0,3.0,3.0,16.0,16.0,16.0,13.0,13.0,13.0,2.0,2.0,2.0,9.0,9.0,9.0
24,24.0,18.0,18.0,18.0,7.0,7.0,7.0,17.0,17.0,17.0,16.0,16.0,16.0,11.0,11.0,11.0,2.0,2.0,2.0,3.0,3.0,3.0
25,25.0,2.0,2.0,2.0,8.0,8.0,8.0,1.0,1.0,1.0,14.0,14.0,14.0,11.0,11.0,11.0,12.0,12.0,12.0,10.0,10.0,10.0
26,26.0,7.0,7.0,7.0,20.0,20.0,20.0,4.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,9.0,9.0,19.0,19.0,19.0
27,27.0,13.0,13.0,13.0,6.0,6.0,6.0,2.0,2.0,2.0,10.0,10.0,10.0,18.0,18.0,18.0,20.0,20.0,20.0,8.0,8.0,8.0
28,28.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,6.0,6.0,6.0,16.0,16.0,16.0,13.0,13.0,13.0
29,29.0,17.0,17.0,17.0,12.0,12.0,12.0,4.0,4.0,4.0,18.0,18.0,18.0,0.0,0.0,0.0,5.0,5.0,5.0,15.0,15.0,15.0
30,30.0,0.0,0.0,0.0,19.0,19.0,19.0,2.0,2.0,2.0,18.0,18.0,18.0,17.0,17.0,17.0,8.0,8.0,8.0,10.0,10.0,10.0
31,31.0,7.0,7.0,7.0,19.0,19.0,19.0,13.0,13.0,13.0,12.0,12.0,12.0,3.0,3.0,3.0,9.0,9.0,9.0,1.0,1.0,1.0
32,32.0,1.0,1.0,1.0,5.0,5.0,5.0,17.0,17.0,17.0,11.0,11.0,11.0,16.0,16.0,16.0,13.0,13.0,13.0,4.0,4.0,4.0
33,33.0,0.0,0.0,0.0,17.0,17.0,17.0,19.0,19.0,19.0,16.0,16.0,16.0,8.0,8.0,8.0,4.0,4.0,4.0,12.0,12.0,12.0
34,34.0,6.0,6.0,6.0,17.0,17.0,17.0,4.0,4.0,4.0,3.0,3.0,3.0,11.0,11.0,11.0,8.0,8.0,8.0,9.0,9.0,9.0
35,35.0,15.0,15.0,15.0,7.0,7.0,7.0,10.0,10.0,10.0,14.0,14.0,14.0,2.0,2.0,2.0,18.0,18.0,18.0,13.0,13.0,13.0
36,36.0,5.0,5.0,5.0,9.0,9.0,9.0,14.0,14.0,14.0,15.0,15.0,15.0,1.0,1.0,1.0,6.0,6.0,6.0,18.0,18.0,18.0
37,37.0,15.0,15.0,15.0,20.0,20.0,20.0,14.0,14.0,14.0,19.0,19.0,19.0,6.0,6.0,6.0,3.0,3.0,3.0,16.0,16.0,16.0
38,38.0,18.0,18.0,18.0,7.0,7.0,7.0,11.0,11.0,11.0,8.0,8.0,8.0,10.0,10.0,10.0,3.0,3.0,3.0,13.0,13.0,13.0
39,39.0,11.0,11.0,11.0,0.0,0.0,0.0,7.0,7.0,7.0,16.0,16.0,16.0,13.0,13.0,13.0,8.0,8.0,8.0,1.0,1.0,1.0
40,40.0,17.0,17.0,17.0,5.0,5.0,5.0,8.0,8.0,8.0,7.0,7.0,7.0,19.0,19.0,19.0,20.0,20.0,20.0,16.0,16.0,16.0
41,41.0,17.0,17.0,17.0,4.0,4.0,4.0,10.0,10.0,10.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,13.0,13.0,13.0
42,42.0,1.0,1.0,1.0,16.0,16.0,16.0,5.0,5.0,5.0,7.0,7.0,7.0,2.0,2.0,2.0,6.0,6.0,6.0,17.0,17.0,17.0
43,43.0,12.0,12.0,12.0,9.0,9.0,9.0,5.0,5.0,5.0,19.0,19.0,19.0,13.0,13.0,13.0,6.0,6.0,6.0,2.0,2.0,2.0
44,44.0,9.0,9.0,9.0,11.0,11.0,11.0,4.0,4.0,4.0,5.0,5.0,5.0,19.0,19.0,19.0,12.0,12.0,12.0,16.0,16.0,16.0
45,45.0,15.0,15.0,15.0,9.0,9.0,9.0,6.0,6.0,6.0,0.0,0.0,0.0,16.0,16.0,16.0,5.0,5.0,5.0,14.0,14.0,14.0
46,46.0,17.0,17.0,17.0,6.0,6.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,4.0,4.0,13.0,13.0,13.0,3.0,3.0,3.0
47,47.0,15.0,15.0,15.0,6.0,6.0,6.0,9.0,9.0,9.0,18.0,18.0,18.0,2.0,2.0,2.0,14.0,14.0,14.0,7.0,7.0,7.0
48,48.0,4.0,4.0,4.0,16.0,16.0,16.0,19.0,19.0,19.0,6.0,6.0,6.0,15.0,15.0,15.0,13.0,13.0,13.0,7.0,7.0,7.0
49,49.0,0.0,0.0,0.0,13.0,13.0,13.0,11.0,11.0,11.0,1.0,1.0,1.0,8.0,8.0,8.0,12.0,12.0,12.0,3.0,3.0,3.0
