,round,tube,tox,amount
0,0,0,0,700
1,0,0,1,700
2,0.0,0.0,2.0,359.3056930623371
3,0.0,0.0,3.0,479.82694498497415
4,0.0,0.0,4.0,432.4302812503107
5,0.0,0.0,5.0,481.5169052631635
6,0,0,6,700
7,0,0,7,700
8,0.0,0.0,8.0,303.21552122414784
9,0,0,9,700
10,0,1,0,700
11,0,1,1,700
12,0.0,1.0,2.0,348.09326472294237
13,0.0,1.0,3.0,472.58093426113385
14,0.0,1.0,4.0,423.6244214628682
15,0.0,1.0,5.0,474.32651201848176
16,0,1,6,700
17,0,1,7,700
18,0.0,1.0,8.0,290.1571359096188
19,0,1,9,700
20,0,2,0,700
21,0,2,1,700
22,0.0,2.0,2.0,355.33462469213515
23,0.0,2.0,3.0,477.26064952028105
24,0.0,2.0,4.0,429.3115392422582
25,0.0,2.0,5.0,478.97030765567206
26,0,2,6,700
27,0,2,7,700
28,0.0,2.0,8.0,298.5906764252521
29,0,2,9,700
