,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,8,1,0,7,16,2,4
1,1,4,3,5,8,7,6,11
2,2,6,3,7,0,2,4,5
3,3,6,19,12,17,11,9,10
4,4,16,17,1,6,19,18,8
5,5,1,19,13,6,3,8,18
6,6,7,15,17,18,12,8,1
7,7,6,1,5,14,15,4,12
8,8,15,3,20,11,18,9,1
9,9,9,20,0,11,3,7,4
10,10,11,1,6,18,12,17,3
11,11,2,4,16,5,11,7,13
12,12,2,9,4,0,7,13,5
13,13,5,14,11,8,16,15,6
14,14,11,9,19,6,1,18,8
15,15,11,4,6,8,12,7,1
16,16,0,16,10,2,20,15,12
17,17,7,13,14,11,17,10,12
18,18,16,13,15,6,18,1,7
19,19,6,4,16,19,13,17,12
20,20,16,14,12,6,3,5,17
21,21,2,15,7,17,1,6,12
22,22,14,1,9,16,3,17,2
23,23,17,14,8,1,0,10,4
24,24,6,9,4,13,0,14,1
25,25,5,2,8,4,13,9,0
26,26,16,18,1,4,10,3,15
27,27,11,17,9,6,3,20,15
28,28,5,0,20,1,17,11,3
29,29,10,1,19,8,9,14,0
30,30,14,0,12,10,6,18,17
31,31,6,13,1,15,10,4,3
32,32,6,19,11,7,3,1,2
33,33,9,18,16,5,7,0,10
34,34,19,20,4,3,12,1,7
35,35,5,11,10,15,2,1,9
36,36,7,13,15,20,4,10,3
37,37,1,15,19,0,20,3,14
38,38,5,0,10,16,7,3,1
39,39,19,3,4,0,8,9,1
40,40,1,7,11,0,4,2,19
41,41,12,15,6,1,9,7,18
42,42,17,1,18,12,6,0,8
43,43,3,7,16,12,4,10,6
44,44,13,3,15,16,2,1,14
45,45,2,6,20,1,0,8,19
46,46,18,19,2,6,14,20,1
47,47,11,6,20,7,9,19,14
48,48,15,8,10,13,5,11,19
