,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,20,2,16,8,15,13,19
1,1,6,19,11,10,8,1,9
2,2,10,9,4,19,5,2,8
3,3,4,6,7,0,17,9,19
4,4,18,4,2,13,3,19,17
5,5,10,12,3,8,1,6,4
6,6,10,4,12,2,3,17,11
7,7,11,5,20,3,19,7,18
8,8,9,18,2,5,13,10,4
9,9,9,12,4,11,10,18,14
10,10,11,19,3,15,0,12,8
11,11,0,12,16,4,13,9,17
12,12,0,9,17,19,12,18,4
13,13,12,19,7,14,11,1,3
14,14,8,7,20,6,16,12,3
15,15,7,12,5,4,0,20,10
16,16,12,4,9,8,16,20,18
17,17,1,4,2,20,9,18,16
18,18,19,17,2,14,11,12,5
19,19,2,14,18,9,16,5,10
20,20,8,7,0,5,20,10,6
21,21,6,12,1,5,19,0,11
22,22,13,2,9,18,6,16,1
23,23,6,0,11,18,16,3,12
24,24,12,6,0,13,20,8,15
25,25,10,4,8,1,12,13,0
26,26,16,3,14,4,10,6,19
27,27,6,20,3,16,2,12,14
28,28,0,11,9,10,15,19,2
29,29,16,10,11,0,20,12,1
30,30,4,5,10,16,11,12,20
31,31,7,4,20,17,14,12,1
32,32,4,11,18,15,14,3,1
33,33,4,5,1,3,13,9,0
34,34,8,17,13,4,2,15,20
35,35,10,9,1,8,15,0,2
36,36,11,2,20,3,1,10,5
37,37,11,19,18,14,4,0,8
38,38,13,14,0,2,3,19,4
39,39,8,12,16,20,9,6,0
40,40,5,14,4,2,0,17,12
41,41,19,0,4,13,5,3,16
42,42,1,9,14,8,13,7,17
43,43,2,13,7,0,3,14,10
44,44,6,11,18,7,9,1,4
45,45,8,11,10,3,16,0,15
46,46,3,10,17,5,2,12,11
47,47,8,20,7,14,10,9,17
48,48,6,11,17,9,1,3,4
