,round,tube,tox,amount
0,0,0,0,700
1,0,0,1,700
2,0.0,0.0,2.0,562.3796040646378
3,0.0,0.0,3.0,673.2622746013833
4,0,0,4,700
5,0.0,0.0,5.0,636.7314378500186
6,0.0,0.0,6.0,466.7523869044014
7,0.0,0.0,7.0,553.2816854822072
8,0.0,0.0,8.0,603.5542468603097
9,0.0,0.0,9.0,586.1278171826848
10,0,1,0,700
11,0,1,1,700
12,0.0,1.0,2.0,563.2907553763421
13,0.0,1.0,3.0,674.0657618598051
14,0,1,4,700
15,0.0,1.0,5.0,637.1503236772301
16,0.0,1.0,6.0,468.2966628613146
17,0.0,1.0,7.0,554.2530719094538
18,0.0,1.0,8.0,604.1927908340014
19,0.0,1.0,9.0,586.8817373268278
20,0,2,0,700
21,0,2,1,700
22,0.0,2.0,2.0,567.6605284797917
23,0.0,2.0,3.0,673.6329477698022
24,0,2,4,700
25,0.0,2.0,5.0,639.1592501833472
26,0.0,2.0,6.0,475.7028263098472
27,0.0,2.0,7.0,558.9117254484573
28,0.0,2.0,8.0,607.2551716326263
29,0.0,2.0,9.0,590.4974484888559
