,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,3,18,15,5,9,2,7
1,1,18,12,3,15,20,16,2
2,2,9,19,17,16,4,0,2
3,3,12,10,6,5,11,19,8
4,4,16,14,19,13,11,1,8
5,5,4,15,13,1,18,8,3
6,6,4,5,12,10,13,11,7
7,7,9,15,16,10,20,18,1
8,8,2,16,3,4,10,13,1
9,9,3,8,9,17,0,10,4
10,10,14,17,8,1,11,12,0
11,11,9,20,16,5,1,8,10
12,12,11,5,4,1,12,9,6
13,13,16,15,5,4,14,18,9
14,14,6,7,13,4,12,20,16
15,15,13,0,8,18,14,6,19
16,16,16,14,9,1,12,2,17
17,17,7,11,2,1,17,5,15
18,18,12,8,7,16,13,1,18
19,19,13,7,10,11,14,3,15
20,20,4,20,17,19,2,6,11
21,21,4,6,19,17,10,5,9
22,22,4,18,9,20,7,2,6
23,23,4,2,16,12,11,1,10
24,24,10,9,17,18,19,13,0
25,25,13,1,17,11,8,10,7
26,26,16,17,19,3,7,8,4
27,27,3,12,9,15,0,7,4
28,28,15,19,20,17,8,11,10
29,29,4,14,18,5,16,13,3
30,30,6,12,11,4,15,10,16
31,31,7,3,16,19,1,15,6
32,32,20,5,13,18,16,11,8
33,33,4,16,11,8,3,5,13
34,34,20,7,2,6,14,4,3
35,35,3,20,17,15,16,0,18
36,36,3,18,9,5,0,10,19
37,37,8,12,4,6,16,18,3
38,38,5,10,12,1,20,19,13
39,39,4,12,17,14,2,6,10
40,40,8,14,3,17,15,10,2
41,41,7,1,16,20,2,4,15
42,42,6,14,7,18,15,11,9
43,43,15,11,7,20,17,19,16
44,44,19,12,6,8,2,4,7
45,45,4,13,11,7,0,20,15
46,46,14,13,17,16,1,18,3
47,47,12,17,4,11,16,6,7
48,48,4,11,10,20,2,16,15
