,round,tube,sp,st,final_pop
0,0,0,11,"(0.02800508489199426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04557831598484657, 0.0)",29
1,0,0,11,"(0.01781535446143155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03285953168712894, 0.0)",4
2,0,0,11,"(0.015841662737330404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027926653058198702, 0.0)",5
3,0,1,11,"(0.01781535446143155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03285953168712894, 0.0)",5
4,0,1,11,"(0.02800508489199426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04557831598484657, 0.0)",25
5,0,1,11,"(0.019469666402526266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03285953168712894, 0.0)",10
6,0,1,11,"(0.015841662737330404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027926653058198702, 0.0)",5
7,0,2,11,"(0.01781535446143155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03285953168712894, 0.0)",4
8,0,2,11,"(0.019469666402526266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03285953168712894, 0.0)",1
9,0,2,11,"(0.02800508489199426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04557831598484657, 0.0)",15
10,0,2,11,"(0.015841662737330404, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027926653058198702, 0.0)",13
