,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,6,16,17,3,9,20,4
1,1,4,0,8,15,16,14,6
2,2,13,12,6,7,15,8,1
3,3,10,1,8,11,18,6,7
4,4,11,7,6,4,9,2,13
5,5,6,19,10,0,1,14,16
6,6,11,9,8,3,17,16,18
7,7,15,9,6,1,2,11,10
8,8,16,3,8,19,4,5,7
9,9,11,3,19,20,15,17,2
10,10,5,11,9,2,17,7,10
11,11,17,15,12,20,2,18,11
12,12,3,6,19,0,7,8,14
13,13,2,4,20,6,0,16,10
14,14,7,3,11,19,12,8,13
15,15,0,6,7,3,1,13,14
16,16,12,0,2,1,19,18,4
17,17,11,20,12,3,19,8,4
18,18,17,13,15,5,1,10,19
19,19,16,15,18,20,9,4,8
20,20,4,2,1,10,20,9,15
21,21,8,1,9,5,15,19,16
22,22,2,16,18,1,12,8,7
23,23,10,13,7,17,4,14,16
24,24,0,12,9,5,13,3,1
25,25,13,20,2,15,8,9,12
26,26,13,17,11,2,14,9,19
27,27,1,16,14,20,12,6,5
28,28,16,19,3,8,2,20,5
29,29,10,20,8,4,0,16,14
30,30,5,16,20,1,0,19,12
31,31,2,11,4,6,15,7,20
32,32,12,0,18,16,9,14,10
33,33,0,4,16,9,19,20,7
34,34,7,12,19,3,10,17,20
35,35,1,20,17,0,13,3,8
36,36,8,18,14,15,17,12,1
37,37,12,7,11,16,20,0,4
38,38,8,11,10,20,7,16,15
39,39,18,15,1,17,13,19,4
40,40,18,10,0,2,5,13,15
41,41,19,18,13,10,16,14,3
42,42,5,9,4,17,10,13,11
43,43,13,8,19,3,16,11,2
44,44,10,8,14,17,0,11,2
45,45,5,6,8,16,3,9,7
46,46,19,5,3,1,13,14,18
47,47,18,20,9,10,0,17,2
48,48,20,3,13,17,16,1,2
