,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,7,5,14,9,16,0,11
1,1,5,16,12,14,6,9,2
2,2,18,1,15,2,19,11,16
3,3,19,12,2,13,14,9,20
4,4,19,20,12,10,17,8,3
5,5,13,20,7,18,9,8,17
6,6,14,3,16,10,1,12,7
7,7,6,16,2,17,15,12,18
8,8,5,16,0,7,20,3,17
9,9,20,18,8,7,14,19,10
10,10,14,17,9,15,13,5,10
11,11,18,11,15,1,14,2,8
12,12,8,10,3,20,19,16,6
13,13,0,3,13,14,2,17,20
14,14,16,0,14,11,4,6,10
15,15,5,9,6,11,0,13,2
16,16,12,17,10,11,18,19,1
17,17,2,16,6,17,3,5,20
18,18,18,14,0,9,3,19,1
19,19,2,5,17,18,19,15,16
20,20,6,3,19,18,5,12,11
21,21,12,11,7,6,2,20,4
22,22,6,13,8,4,19,1,5
23,23,12,10,11,2,4,13,1
24,24,14,12,11,2,16,1,10
25,25,5,7,1,19,9,4,6
26,26,9,12,6,20,16,0,18
27,27,18,13,8,0,2,10,3
28,28,16,10,8,9,5,15,13
29,29,11,6,9,19,5,16,15
30,30,9,5,17,11,10,14,1
31,31,6,16,15,20,14,3,10
32,32,15,14,13,0,9,18,1
33,33,8,15,6,1,12,10,14
34,34,20,16,17,12,1,11,0
35,35,18,12,20,8,15,10,5
36,36,5,16,2,15,13,10,1
37,37,16,11,18,20,17,3,12
38,38,19,1,10,11,9,20,17
39,39,2,13,10,7,11,9,3
40,40,10,5,20,0,15,4,19
41,41,12,14,3,15,11,17,0
42,42,3,15,16,13,12,7,18
43,43,18,8,19,20,12,16,4
44,44,7,15,0,8,17,19,13
45,45,13,0,4,10,1,3,15
46,46,8,3,1,4,13,12,20
47,47,15,0,10,12,6,20,2
48,48,12,8,0,16,15,18,10
