,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,0,19,5,8,3,6,7
1,1,16,1,4,18,3,6,7
2,2,18,7,20,19,15,8,11
3,3,13,5,9,0,10,7,6
4,4,19,11,5,9,6,4,0
5,5,19,20,10,1,2,4,17
6,6,8,10,20,5,15,3,17
7,7,12,9,7,15,17,11,16
8,8,20,8,12,16,10,11,1
9,9,6,11,0,2,17,14,8
10,10,12,1,13,2,17,5,0
11,11,16,1,12,18,20,14,9
12,12,7,11,4,13,1,8,17
13,13,18,17,6,13,5,4,8
14,14,2,9,11,0,19,18,8
15,15,15,8,14,4,12,0,20
16,16,12,14,4,11,9,5,8
17,17,8,7,5,13,6,3,1
18,18,0,9,16,2,6,18,8
19,19,9,2,12,15,11,7,6
20,20,7,19,18,12,4,8,6
21,21,10,15,14,8,17,7,3
22,22,10,1,6,16,8,17,11
23,23,5,20,4,12,7,15,1
24,24,9,1,14,6,11,17,15
25,25,2,4,9,5,7,20,0
26,26,8,4,6,20,9,18,5
27,27,20,6,5,4,15,17,19
28,28,9,4,3,16,11,6,12
29,29,16,15,5,11,20,12,17
30,30,14,11,18,16,6,9,2
31,31,11,3,6,1,10,4,5
32,32,7,5,3,9,2,4,12
33,33,15,13,0,12,14,6,4
34,34,15,0,12,13,1,4,17
35,35,13,9,5,10,19,2,18
36,36,10,16,11,12,9,6,8
37,37,8,19,16,18,17,2,7
38,38,12,15,9,8,3,6,5
39,39,7,0,13,4,8,10,19
40,40,0,8,19,1,10,6,12
41,41,6,16,12,11,1,13,3
42,42,13,16,4,18,5,1,10
43,43,14,20,12,0,5,18,9
44,44,9,12,1,17,14,6,16
45,45,0,15,20,8,11,16,4
46,46,10,7,5,1,4,6,8
47,47,4,13,17,6,3,7,2
48,48,5,11,20,15,1,9,17
