,round,tube0,tube1,tube2
0,0,6,9,5
1,1,1,6,2
2,2,1,7,6
3,3,9,2,3
4,4,7,4,6
5,5,3,8,1
6,6,0,3,8
7,7,1,3,5
8,8,5,6,1
9,9,3,9,1
10,10,1,0,9
11,11,5,6,9
12,12,4,0,7
13,13,8,0,9
14,14,2,7,0
15,15,8,5,3
16,16,7,4,2
17,17,7,8,1
18,18,0,9,3
19,19,0,6,7
20,20,9,3,1
21,21,7,1,0
22,22,0,2,6
23,23,9,3,6
