,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,15,13,18,2,9,0,6
1,1,5,4,9,11,10,3,0
2,2,8,5,11,14,18,9,0
3,3,2,11,5,3,4,1,0
4,4,0,13,6,11,8,7,14
5,5,3,0,16,6,9,15,8
6,6,18,0,13,17,10,11,2
7,7,4,14,19,6,13,5,0
8,8,7,13,10,16,6,19,2
9,9,0,2,12,10,4,3,5
10,10,3,2,13,15,4,17,5
11,11,1,18,3,9,5,8,10
12,12,17,7,11,20,13,8,19
13,13,12,13,14,6,18,19,20
14,14,3,2,0,5,4,1,8
15,15,12,14,8,16,15,3,20
16,16,8,1,3,13,16,6,2
17,17,18,6,0,7,9,5,8
18,18,14,17,3,16,19,18,20
19,19,0,2,1,4,6,19,20
20,20,1,18,17,8,2,20,0
21,21,17,0,6,2,16,14,9
22,22,11,12,3,13,10,4,8
23,23,17,19,11,15,6,7,18
24,24,4,15,2,9,10,16,8
25,25,10,17,13,3,16,12,11
26,26,4,5,1,19,7,15,14
27,27,17,12,18,20,7,14,2
28,28,4,19,15,12,6,18,5
29,29,6,5,2,9,3,7,13
30,30,13,10,19,20,8,9,14
31,31,4,20,16,18,1,8,12
32,32,11,15,10,5,3,9,18
33,33,20,5,8,7,2,10,6
34,34,15,0,3,4,8,20,14
35,35,7,8,0,16,1,10,13
36,36,0,1,5,6,8,12,13
37,37,5,20,3,8,0,10,12
38,38,10,12,13,17,8,20,11
39,39,20,2,12,14,9,17,4
40,40,15,10,12,0,1,7,5
41,41,17,20,9,3,15,16,6
42,42,2,10,13,1,18,19,16
43,43,0,6,5,15,1,9,14
44,44,14,5,12,17,7,8,4
45,45,7,20,19,3,4,13,6
46,46,8,14,9,11,5,1,3
47,47,17,13,19,2,16,10,12
48,48,18,14,1,11,10,6,7
