,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6,tube7,tube8,tube9,tube10,tube11,tube12,tube13,tube14,tube15,tube16,tube17,tube18,tube19,tube20
25,25.0,4.0,4.0,4.0,15.0,15.0,15.0,2.0,2.0,2.0,9.0,9.0,9.0,10.0,10.0,10.0,16.0,16.0,16.0,8.0,8.0,8.0
26,26.0,10.0,10.0,10.0,17.0,17.0,17.0,13.0,13.0,13.0,3.0,3.0,3.0,16.0,16.0,16.0,12.0,12.0,12.0,11.0,11.0,11.0
27,27.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,19.0,19.0,19.0,7.0,7.0,7.0,15.0,15.0,15.0,14.0,14.0,14.0
28,28.0,17.0,17.0,17.0,12.0,12.0,12.0,18.0,18.0,18.0,20.0,20.0,20.0,7.0,7.0,7.0,14.0,14.0,14.0,2.0,2.0,2.0
29,29.0,4.0,4.0,4.0,19.0,19.0,19.0,15.0,15.0,15.0,12.0,12.0,12.0,6.0,6.0,6.0,18.0,18.0,18.0,5.0,5.0,5.0
30,30.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,9.0,9.0,9.0,3.0,3.0,3.0,7.0,7.0,7.0,13.0,13.0,13.0
31,31.0,13.0,13.0,13.0,10.0,10.0,10.0,19.0,19.0,19.0,20.0,20.0,20.0,8.0,8.0,8.0,9.0,9.0,9.0,14.0,14.0,14.0
32,32.0,4.0,4.0,4.0,20.0,20.0,20.0,16.0,16.0,16.0,18.0,18.0,18.0,1.0,1.0,1.0,8.0,8.0,8.0,12.0,12.0,12.0
33,33.0,11.0,11.0,11.0,15.0,15.0,15.0,10.0,10.0,10.0,5.0,5.0,5.0,3.0,3.0,3.0,9.0,9.0,9.0,18.0,18.0,18.0
34,34.0,20.0,20.0,20.0,5.0,5.0,5.0,8.0,8.0,8.0,7.0,7.0,7.0,2.0,2.0,2.0,10.0,10.0,10.0,6.0,6.0,6.0
35,35.0,15.0,15.0,15.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,8.0,8.0,8.0,20.0,20.0,20.0,14.0,14.0,14.0
36,36.0,7.0,7.0,7.0,8.0,8.0,8.0,0.0,0.0,0.0,16.0,16.0,16.0,1.0,1.0,1.0,10.0,10.0,10.0,13.0,13.0,13.0
37,37.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,8.0,8.0,8.0,12.0,12.0,12.0,13.0,13.0,13.0
38,38.0,5.0,5.0,5.0,20.0,20.0,20.0,3.0,3.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,10.0,10.0,10.0,12.0,12.0,12.0
39,39.0,10.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,13.0,17.0,17.0,17.0,8.0,8.0,8.0,20.0,20.0,20.0,11.0,11.0,11.0
40,40.0,20.0,20.0,20.0,2.0,2.0,2.0,12.0,12.0,12.0,14.0,14.0,14.0,9.0,9.0,9.0,17.0,17.0,17.0,4.0,4.0,4.0
41,41.0,15.0,15.0,15.0,10.0,10.0,10.0,12.0,12.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,5.0,5.0
42,42.0,17.0,17.0,17.0,20.0,20.0,20.0,9.0,9.0,9.0,3.0,3.0,3.0,15.0,15.0,15.0,16.0,16.0,16.0,6.0,6.0,6.0
43,43.0,2.0,2.0,2.0,10.0,10.0,10.0,13.0,13.0,13.0,1.0,1.0,1.0,18.0,18.0,18.0,19.0,19.0,19.0,16.0,16.0,16.0
44,44.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,5.0,5.0,15.0,15.0,15.0,1.0,1.0,1.0,9.0,9.0,9.0,14.0,14.0,14.0
45,45.0,14.0,14.0,14.0,5.0,5.0,5.0,12.0,12.0,12.0,17.0,17.0,17.0,7.0,7.0,7.0,8.0,8.0,8.0,4.0,4.0,4.0
46,46.0,7.0,7.0,7.0,20.0,20.0,20.0,19.0,19.0,19.0,3.0,3.0,3.0,4.0,4.0,4.0,13.0,13.0,13.0,6.0,6.0,6.0
47,47.0,8.0,8.0,8.0,14.0,14.0,14.0,9.0,9.0,9.0,11.0,11.0,11.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0
48,48.0,17.0,17.0,17.0,13.0,13.0,13.0,19.0,19.0,19.0,2.0,2.0,2.0,16.0,16.0,16.0,10.0,10.0,10.0,12.0,12.0,12.0
49,49.0,18.0,18.0,18.0,14.0,14.0,14.0,1.0,1.0,1.0,11.0,11.0,11.0,10.0,10.0,10.0,6.0,6.0,6.0,7.0,7.0,7.0
