,round,tube0,tube1,tube2
0,0,7,8,5
1,1,0,7,9
2,2,4,2,3
3,3,2,0,5
4,4,8,0,3
5,5,7,5,4
6,6,8,4,9
7,7,2,6,9
8,8,8,0,2
9,9,6,5,3
10,10,1,3,7
11,11,2,8,0
12,12,6,2,9
13,13,5,6,4
14,14,2,3,0
15,15,1,9,5
16,16,8,7,3
17,17,6,7,8
18,18,5,9,1
19,19,6,3,7
20,20,8,6,3
21,21,6,7,5
22,22,6,7,8
23,23,1,4,0
