,round,tube,sp,st,final_pop
39,0,3,8,"(0.0, 0.006406778500889529, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
40,0,3,8,"(0.0, 0.008651570295735971, 0.04042636242369618, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",3
41,0,3,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",327
42,0,3,8,"(0.0, 0.016643627919484913, 0.02223487233252942, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
43,0,3,8,"(0.0, 0.016643627919484913, 0.013919139543124657, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
44,0,3,8,"(0.0, 0.019332103296530564, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
45,0,3,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00020618324195559036, 0.0, 0.0, 0.0)",1
46,0,3,8,"(0.0, 0.018668455534907327, 0.03992129370194736, 0.0, 0.0, 0.0, 0.0002554234957331924, 0.0, 0.0, 0.0)",1
47,0,3,10,"(0.06183229356803319, 0.003983248689718548, 0.06832740139210945, 0.0, 0.10772597225744233, 0.0, 0.0, 0.0022730731527826477, 0.0, 0.0)",7
48,0,4,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03841529292897077, 0.0, 0.07098281781122052, 0.0)",1
49,0,4,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",275
50,0,4,0,"(0.0, 0.0, 0.0, 0.06418790525169588, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",1
51,0,4,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.06549243309443628, 0.0, 0.07098281781122052, 0.0)",9
52,0,4,0,"(0.0, 0.0, 0.0, 0.11696802060669696, 0.04356372842177486, 0.0, 0.03683897489672214, 0.0, 0.07098281781122052, 0.0)",1
53,0,4,0,"(0.0, 0.0, 0.0, 0.06373288382390217, 0.04356372842177486, 0.0, 0.023521276522670744, 0.0, 0.07098281781122052, 0.0)",3
54,0,4,8,"(0.0, 0.016643627919484913, 0.035765173525696387, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",49
55,0,4,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.0003192405563491656, 0.0, 0.0, 0.0)",1
56,0,4,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",323
57,0,4,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00018417219049070312, 0.0, 0.0, 0.0)",1
