,round,tube0,tube1,tube2
0,0,8,4,9
1,1,0,7,5
2,2,5,7,4
3,3,5,1,3
4,4,9,0,3
5,5,9,4,2
6,6,5,2,1
7,7,0,8,1
8,8,0,3,6
9,9,1,5,6
10,10,5,3,6
11,11,6,1,0
12,12,8,1,5
13,13,5,3,4
14,14,6,7,3
15,15,6,8,3
16,16,4,8,7
17,17,0,7,6
18,18,3,8,5
19,19,0,1,2
20,20,8,3,2
21,21,4,0,5
22,22,1,5,0
23,23,3,2,7
