,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,8,4,12,7,15,3,1
1,1,19,14,7,5,17,11,4
2,2,18,10,12,11,16,4,6
3,3,12,20,16,6,2,4,9
4,4,13,11,9,18,12,14,2
5,5,16,6,13,18,8,9,1
6,6,14,4,18,13,5,17,16
7,7,8,13,6,11,9,0,5
8,8,18,1,12,7,9,3,15
9,9,4,16,17,14,5,19,0
10,10,7,14,4,19,0,5,2
11,11,18,5,17,12,13,1,11
12,12,17,4,2,7,8,9,19
13,13,6,5,2,17,9,19,0
14,14,19,3,11,6,13,10,17
15,15,0,5,14,20,15,11,17
16,16,5,9,12,10,16,4,6
17,17,12,15,16,18,8,5,2
18,18,1,3,14,13,7,18,10
19,19,4,14,5,8,7,19,18
20,20,8,2,16,17,9,11,15
21,21,18,16,19,4,13,8,3
22,22,5,13,15,1,6,4,16
23,23,3,17,14,6,1,10,5
24,24,6,9,10,0,19,5,8
25,25,18,15,8,19,0,4,3
26,26,7,2,8,14,15,9,13
27,27,13,16,6,9,3,12,20
28,28,12,2,13,14,17,8,3
29,29,5,8,16,3,1,4,13
30,30,12,17,1,6,18,2,7
31,31,17,2,9,6,11,4,14
32,32,13,1,10,18,3,2,6
33,33,5,11,1,3,2,18,10
34,34,13,14,19,3,20,17,6
35,35,12,3,4,9,8,0,1
36,36,12,2,8,6,3,10,20
37,37,9,12,1,5,8,14,18
38,38,10,14,12,18,6,1,3
39,39,18,6,1,20,8,12,7
40,40,14,19,4,15,9,12,18
41,41,18,9,0,17,19,20,7
42,42,1,3,19,4,6,8,10
43,43,5,13,15,8,12,11,14
44,44,19,16,2,20,6,13,3
45,45,12,0,6,5,19,7,18
46,46,12,15,5,3,11,2,16
47,47,11,18,4,12,8,1,7
48,48,4,20,6,17,14,13,2
