,round,tube0,tube1,tube2
0,0,0,3,4
1,1,7,5,2
2,2,9,3,1
3,3,2,0,7
4,4,4,1,7
5,5,3,0,2
6,6,7,0,8
7,7,5,7,4
8,8,5,4,2
9,9,2,1,5
10,10,8,1,3
11,11,0,6,8
12,12,4,8,6
13,13,2,7,8
14,14,2,9,1
15,15,2,7,0
16,16,8,5,3
17,17,5,8,4
18,18,5,9,8
19,19,5,1,8
20,20,0,1,4
21,21,9,6,3
22,22,4,7,6
23,23,4,1,8
