,round,tube0,tube1,tube2
0,0,5,6,8
1,1,9,4,1
2,2,7,0,6
3,3,9,1,0
4,4,4,3,9
5,5,7,6,8
6,6,1,9,0
7,7,6,1,7
8,8,4,0,9
9,9,0,2,7
10,10,1,5,7
11,11,3,5,4
12,12,4,6,5
13,13,2,8,1
14,14,5,6,9
15,15,6,8,9
16,16,0,5,7
17,17,3,0,9
18,18,0,9,8
19,19,3,1,4
20,20,6,8,2
21,21,6,1,9
22,22,0,5,2
23,23,9,4,5
