,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,17,12,20,16,18,9,1
1,1,12,11,3,2,18,4,9
2,2,0,2,5,13,17,15,16
3,3,18,11,16,12,0,8,15
4,4,20,9,13,14,16,15,0
5,5,3,14,9,1,6,10,20
6,6,19,10,5,0,12,2,18
7,7,20,3,1,0,19,14,4
8,8,5,8,17,9,4,6,7
9,9,20,19,16,0,8,17,9
10,10,1,16,13,17,0,15,9
11,11,20,13,16,3,18,1,8
12,12,13,0,7,16,19,12,4
13,13,1,12,9,15,5,10,4
14,14,6,14,0,17,8,1,11
15,15,12,13,3,0,9,7,18
16,16,12,4,8,2,1,7,6
17,17,8,17,20,3,10,7,9
18,18,20,2,10,12,11,4,17
19,19,0,10,20,9,16,14,15
20,20,6,3,20,7,12,0,10
21,21,1,13,3,14,6,15,19
22,22,12,8,19,17,14,0,15
23,23,14,5,9,18,3,1,19
24,24,3,9,0,20,6,13,1
25,25,8,7,16,15,2,3,12
26,26,0,8,20,18,7,6,1
27,27,18,10,4,17,20,16,1
28,28,8,3,17,19,16,6,7
29,29,20,11,8,0,17,15,16
30,30,5,1,0,8,16,11,2
31,31,12,14,17,15,4,10,0
32,32,1,10,18,19,0,2,9
33,33,20,0,7,3,13,2,10
34,34,12,14,16,15,8,11,5
35,35,3,13,4,18,1,6,9
36,36,6,10,12,14,2,17,3
37,37,19,0,15,10,17,2,16
38,38,18,13,1,19,8,11,5
39,39,15,14,5,4,6,2,18
40,40,1,19,14,8,5,6,0
41,41,14,0,10,18,12,7,4
42,42,4,9,13,6,7,1,10
43,43,17,19,7,4,10,0,8
44,44,0,12,14,20,8,11,4
45,45,1,3,17,6,18,8,11
46,46,16,9,1,18,12,10,6
47,47,3,7,12,9,10,14,8
48,48,8,7,16,4,12,10,19
