,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,7,11,13,1,18,10,9
1,1,17,11,16,12,13,3,18
2,2,6,15,12,9,4,0,8
3,3,7,2,19,9,13,8,20
4,4,7,12,9,10,13,0,11
5,5,4,3,6,7,2,5,20
6,6,0,14,20,10,15,16,3
7,7,11,14,2,9,0,16,17
8,8,5,2,6,13,3,4,1
9,9,19,5,2,14,10,11,12
10,10,18,7,3,20,4,2,19
11,11,9,5,15,2,0,8,17
12,12,5,1,9,18,8,20,0
13,13,4,7,15,3,19,13,11
14,14,14,3,13,2,1,17,19
15,15,12,18,19,3,14,11,2
16,16,10,12,13,7,8,16,18
17,17,6,2,5,4,3,20,18
18,18,18,16,9,15,2,11,19
19,19,11,10,7,6,9,12,5
20,20,17,18,11,14,20,10,3
21,21,19,5,20,14,9,11,12
22,22,4,10,14,3,9,6,18
23,23,20,11,13,6,0,12,2
24,24,13,12,9,1,6,8,4
25,25,19,13,17,18,12,3,0
26,26,4,15,12,6,9,18,13
27,27,5,7,0,18,1,14,9
28,28,17,3,9,4,20,0,1
29,29,19,5,11,15,2,10,13
30,30,7,4,19,9,0,16,13
31,31,18,20,8,16,11,2,3
32,32,7,10,16,12,6,13,0
33,33,11,13,15,3,2,5,12
34,34,12,18,16,7,14,15,13
35,35,0,11,6,15,10,14,8
36,36,10,1,14,2,16,13,4
37,37,9,11,0,13,15,12,20
38,38,3,20,15,14,2,0,5
39,39,20,11,5,10,13,19,18
40,40,18,2,15,9,1,16,7
41,41,0,9,5,12,15,7,2
42,42,13,17,10,11,16,18,2
43,43,16,7,18,5,15,20,14
44,44,6,18,8,11,0,16,3
45,45,6,3,4,11,15,5,20
46,46,13,11,15,4,3,0,1
47,47,16,13,11,2,17,19,15
48,48,20,19,13,4,14,11,16
