,round,tube,sp,st,final_pop
0,0,0,0,"(0.05250828553634152, 0.07751007777812634, 0.021305154261463143, 0.0, 0.0, 0.02913486473025094, 0.037973903473278, 0.02693140795243988, 0.0, 0.0)",56
1,0,0,0,"(0.028144939963110138, 0.07751007777812634, 0.021305154261463143, 0.0, 0.0, 0.02913486473025094, 0.037973903473278, 0.02693140795243988, 0.0, 0.0)",33
2,0,1,0,"(0.028144939963110138, 0.07751007777812634, 0.021305154261463143, 0.0, 0.0, 0.02913486473025094, 0.037973903473278, 0.02693140795243988, 0.0, 0.0)",22
3,0,1,0,"(0.05250828553634152, 0.07751007777812634, 0.021305154261463143, 0.0, 0.0, 0.02913486473025094, 0.037973903473278, 0.02693140795243988, 0.0, 0.0)",65
4,0,2,0,"(0.05250828553634152, 0.07751007777812634, 0.021305154261463143, 0.0, 0.0, 0.02913486473025094, 0.037973903473278, 0.02693140795243988, 0.0, 0.0)",17
5,0,2,0,"(0.028144939963110138, 0.07751007777812634, 0.021305154261463143, 0.0, 0.0, 0.02913486473025094, 0.037973903473278, 0.02693140795243988, 0.0, 0.0)",81
