,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,4,10,19,15,16,20,14
1,1,15,0,19,5,14,4,2
2,2,2,4,20,16,14,6,9
3,3,13,18,4,16,3,7,14
4,4,6,20,2,10,1,18,8
5,5,8,3,9,5,17,11,7
6,6,4,2,16,10,3,19,11
7,7,16,10,0,7,20,5,17
8,8,10,17,14,19,4,8,20
9,9,2,10,15,19,5,13,1
10,10,19,1,9,11,16,5,8
11,11,4,9,17,10,20,7,1
12,12,15,8,14,13,6,19,20
13,13,2,0,18,7,13,8,1
14,14,17,4,0,14,20,9,7
15,15,7,3,15,16,5,1,13
16,16,3,11,2,4,13,14,5
17,17,15,19,1,7,20,5,3
18,18,16,11,12,17,15,4,7
19,19,10,16,6,2,14,3,11
20,20,15,10,16,1,18,14,7
21,21,3,5,17,2,7,0,12
22,22,20,17,6,4,15,13,1
23,23,5,1,8,4,0,16,7
24,24,15,8,1,18,14,0,7
25,25,8,15,17,7,6,0,3
26,26,5,6,7,1,12,19,2
27,27,5,19,16,0,14,13,11
28,28,11,15,12,2,10,1,18
29,29,17,0,9,3,15,18,20
30,30,1,3,11,12,10,7,5
31,31,16,4,3,9,2,7,10
32,32,6,1,19,4,12,15,16
33,33,10,11,4,9,18,13,14
34,34,5,10,0,9,13,12,16
35,35,6,16,13,19,1,9,15
36,36,0,6,15,8,9,13,16
37,37,9,10,18,15,11,16,14
38,38,7,4,0,12,14,13,18
39,39,4,14,8,2,6,9,7
40,40,13,4,10,3,18,8,2
41,41,4,14,19,16,2,3,9
42,42,4,18,11,8,12,9,10
43,43,6,0,19,2,20,18,11
44,44,4,5,1,17,2,11,12
45,45,2,7,0,12,16,9,11
46,46,0,14,1,11,17,16,8
47,47,20,12,0,5,9,7,10
48,48,5,4,0,13,1,15,3
