,round,tube,sp,st,final_pop
36,0,2,13,"(0.0, 0.0, 0.11338055490990097, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",2
37,0,3,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",368
38,0,3,8,"(0.09369258606422372, 0.0, 0.11447808118291014, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
39,0,3,8,"(0.074399110928353, 0.0, 0.09886232529533268, 0.08308175450151142, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
40,0,3,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.05813585326358987, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
41,0,3,8,"(0.09369258606422372, 0.0, 0.1516666444828038, 0.04932121979680073, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
42,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",451
43,0,3,11,"(0.04610772594471597, 0.07911806332348915, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.04875881878051091, 0.0, 0.01812760691895582)",1
44,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04451180681487983, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",2
45,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.040437622206627985, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
46,0,3,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",147
47,0,3,13,"(0.0, 0.0, 0.07132877656464472, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",4
48,0,3,13,"(0.0, 0.0, 0.22027023330442075, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",1
49,0,3,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.10761345720173207, 0.0)",5
50,0,4,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09255248874405946, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
51,0,4,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",349
52,0,4,8,"(0.09369258606422372, 0.0, 0.09101743086945496, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
53,0,4,8,"(0.059078455604398145, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",1
54,0,4,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.043674593452173345, 0.0, 0.0, 0.0)",7
55,0,4,9,"(0.052550939459601514, 0.0, 0.04225710535970975, 0.0, 0.12647368364204675, 0.13743956853625588, 0.0576626659711753, 0.11395506571919103, 0.0, 0.02195829510738229)",3
56,0,4,11,"(0.14815063296619985, 0.19962830344770244, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
57,0,4,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.06419234835722135, 0.0, 0.01812760691895582)",3
58,0,4,11,"(0.09033430006888621, 0.39721351808187466, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
59,0,4,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.047543553147576974, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
