,round,tube,nut,amount
0,0.0,0.0,0.0,693.6310486765684
1,0.0,0.0,1.0,34.90054782026032
2,0.0,0.0,2.0,0.26994178837955
3,0.0,0.0,3.0,90.74355181988132
4,0.0,1.0,0.0,784.8344242457998
5,0.0,1.0,1.0,172.09280364238367
6,0.0,1.0,2.0,0.2892611241069049
7,0.0,1.0,3.0,482.54536569837995
8,0.0,2.0,0.0,922.0312221544968
9,0.0,2.0,1.0,378.470452267657
10,0.0,2.0,2.0,0.5430513451429778
11,0.0,2.0,3.0,207.7885832283539
12,0.0,3.0,0.0,870.4182582027411
13,0.0,3.0,1.0,300.83188998843394
14,0.0,3.0,2.0,0.0004974594466281984
15,0.0,3.0,3.0,813.0895879388275
16,0.0,4.0,0.0,790.3360420046387
17,0.0,4.0,1.0,180.36858670738104
18,0.0,4.0,2.0,0.7050098333782241
19,0.0,4.0,3.0,1265.6936195889743
20,0.0,5.0,0.0,963.0815526504605
21,0.0,5.0,1.0,440.2202220303994
22,0.0,5.0,2.0,154.1346964930794
23,0.0,5.0,3.0,134.40118343862903
24,0.0,6.0,0.0,850.8727483172282
25,0.0,6.0,1.0,271.43064715447815
26,0.0,6.0,2.0,0.2668276134984252
27,0.0,6.0,3.0,286.8141231253364
28,0.0,7.0,0.0,796.3285654242375
29,0.0,7.0,1.0,189.38281234179647
30,0.0,7.0,2.0,0.3893399272376347
31,0.0,7.0,3.0,1083.0413980939136
32,0.0,8.0,0.0,858.3580396395763
33,0.0,8.0,1.0,282.69036200153073
34,0.0,8.0,2.0,0.8776760284557003
35,0.0,8.0,3.0,496.4629085836055
36,0.0,9.0,0.0,676.7349533542022
37,0.0,9.0,1.0,9.484674587571195
38,0.0,9.0,2.0,0.33578880747702583
39,0.0,9.0,3.0,161.15075766423612
40,1.0,0.0,0.0,1059.9831240363478
41,1.0,0.0,1.0,585.9839625516746
42,1.0,0.0,2.0,620.7819759218909
43,1.0,0.0,3.0,629.1176320424291
44,1.0,1.0,0.0,674.2616764861289
45,1.0,1.0,1.0,5.764259299367529
46,1.0,1.0,2.0,1082.1880658142225
47,1.0,1.0,3.0,0.5303282400590352
48,1.0,2.0,0.0,1055.6984958023327
49,1.0,2.0,1.0,579.5388303499863
50,1.0,2.0,2.0,299.12764402450614
51,1.0,2.0,3.0,0.9918323186164808
52,1.0,3.0,0.0,860.7161911709254
53,1.0,3.0,1.0,286.2376005345122
54,1.0,3.0,2.0,4.33668519159281
55,1.0,3.0,3.0,199.42990511984434
56,1.0,4.0,0.0,963.91058917215
57,1.0,4.0,1.0,441.4672963832854
58,1.0,4.0,2.0,1924.33206194429
59,1.0,4.0,3.0,271.7610974623581
60,1.0,5.0,0.0,827.0067338635988
61,1.0,5.0,1.0,235.5303053092228
62,1.0,5.0,2.0,838.0074410870774
63,1.0,5.0,3.0,0.5481117813193239
64,1.0,6.0,0.0,1303.148778357126
65,1.0,6.0,1.0,951.7647732564909
66,1.0,6.0,2.0,1026.2374214035603
67,1.0,6.0,3.0,590.6605551179723
68,1.0,7.0,0.0,689.7826893957007
69,1.0,7.0,1.0,29.111671173302085
70,1.0,7.0,2.0,1501.4172551605316
71,1.0,7.0,3.0,374.81685448499195
72,1.0,8.0,0.0,1265.5693295641343
73,1.0,8.0,1.0,895.2360612402484
74,1.0,8.0,2.0,1290.6453873387782
75,1.0,8.0,3.0,19.39954034194573
76,1.0,9.0,0.0,704.7186616679999
77,1.0,9.0,1.0,51.57903837484108
78,1.0,9.0,2.0,1039.9102417006627
79,1.0,9.0,3.0,0.9428271334694118
80,2.0,0.0,0.0,949.8284394894372
81,2.0,0.0,1.0,420.28428786262623
82,2.0,0.0,2.0,1234.9413716312918
83,2.0,0.0,3.0,8.396120519824626
84,2.0,1.0,0.0,708.135428616224
85,2.0,1.0,1.0,56.71869425182628
86,2.0,1.0,2.0,1993.1718045935922
87,2.0,1.0,3.0,8.08179313661519
88,2.0,2.0,0.0,842.1439114619842
89,2.0,2.0,1.0,258.3003346918117
90,2.0,2.0,2.0,127.75448514289347
91,2.0,2.0,3.0,1.856022946817156
