,round,tube0,tube1,tube2
0,0,0,3,2
1,1,4,9,8
2,2,2,3,4
3,3,1,4,6
4,4,2,4,0
5,5,0,1,2
6,6,8,9,1
7,7,1,8,5
8,8,1,2,8
9,9,4,5,6
10,10,9,8,3
11,11,3,4,8
12,12,2,9,6
13,13,6,2,3
14,14,5,0,9
15,15,7,1,8
16,16,2,3,0
17,17,0,1,3
18,18,5,0,4
19,19,4,9,7
20,20,0,8,7
21,21,6,7,3
22,22,7,8,1
23,23,3,4,2
