,round,tube0,tube1,tube2
0,0,0,7,2
1,1,2,5,3
2,2,3,4,7
3,3,3,6,9
4,4,4,0,6
5,5,4,7,3
6,6,1,5,0
7,7,9,4,2
8,8,5,6,9
9,9,6,9,3
10,10,1,3,7
11,11,4,7,2
12,12,1,9,5
13,13,3,0,2
14,14,7,4,8
15,15,4,0,1
16,16,8,1,4
17,17,3,6,8
18,18,7,9,3
19,19,4,9,6
20,20,6,4,8
21,21,5,0,3
22,22,4,3,0
23,23,5,8,0
