,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,12,9,10,20,6,14,7
1,1,14,5,7,19,18,11,16
2,2,15,6,5,7,4,13,17
3,3,6,19,4,18,12,20,1
4,4,0,6,3,9,15,13,14
5,5,9,8,5,14,20,1,13
6,6,11,13,4,9,6,0,15
7,7,20,9,14,0,7,3,15
8,8,19,14,3,7,5,15,16
9,9,18,19,16,11,12,7,1
10,10,2,14,3,17,11,15,1
11,11,0,14,5,4,2,17,18
12,12,5,3,16,10,4,14,11
13,13,18,12,6,5,7,4,16
14,14,10,20,5,19,14,2,6
15,15,1,13,20,9,16,4,3
16,16,12,1,19,0,13,2,14
17,17,11,7,18,14,3,1,4
18,18,10,20,15,11,14,13,2
19,19,6,4,14,8,12,3,5
20,20,4,15,2,8,12,5,11
21,21,9,5,3,16,4,7,1
22,22,17,15,6,4,18,14,2
23,23,4,19,6,7,16,14,1
24,24,17,3,18,16,13,0,19
25,25,0,19,3,18,20,13,5
26,26,7,5,6,2,13,19,11
27,27,15,0,14,18,11,16,4
28,28,10,7,6,9,17,1,18
29,29,15,4,20,18,9,7,5
30,30,8,10,1,5,13,11,16
31,31,0,9,2,12,11,6,1
32,32,18,16,15,20,0,11,14
33,33,4,15,6,0,13,20,11
34,34,19,6,0,18,3,10,12
35,35,16,20,0,7,15,1,4
36,36,13,1,14,9,12,18,8
37,37,5,19,12,2,8,3,4
38,38,11,2,14,20,18,16,3
39,39,11,2,0,16,12,5,13
40,40,5,17,6,10,2,18,1
41,41,10,15,20,0,14,1,8
42,42,16,13,12,17,18,19,2
43,43,6,8,11,10,13,14,18
44,44,12,0,19,5,17,8,9
45,45,18,15,12,16,1,14,5
46,46,10,3,2,13,6,16,14
47,47,17,6,0,16,5,10,4
48,48,9,12,5,17,3,8,16
