,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,18,2,3,6,11,9,0
1,1,4,16,12,8,10,14,7
2,2,11,9,12,15,1,18,4
3,3,19,20,16,7,6,4,9
4,4,6,20,17,4,16,8,0
5,5,2,9,16,18,12,15,8
6,6,11,13,4,17,6,16,19
7,7,11,9,3,20,0,13,12
8,8,19,13,10,16,18,17,11
9,9,14,7,9,1,4,17,5
10,10,14,17,8,5,11,12,10
11,11,15,11,16,14,5,4,18
12,12,4,5,3,12,20,0,14
13,13,9,11,1,6,10,16,0
14,14,18,2,10,4,8,0,6
15,15,12,4,16,3,15,19,13
16,16,19,8,7,13,10,12,4
17,17,20,13,14,4,0,18,7
18,18,11,16,2,14,7,4,1
19,19,20,4,17,14,15,7,1
20,20,4,14,17,11,6,3,8
21,21,4,17,7,20,15,9,2
22,22,12,13,11,4,20,5,10
23,23,11,19,9,8,13,18,2
24,24,10,16,7,18,4,17,6
25,25,17,20,16,1,11,15,4
26,26,19,1,2,5,18,16,10
27,27,17,15,19,7,10,11,5
28,28,2,7,11,12,6,8,20
29,29,8,18,5,16,19,20,2
30,30,6,2,14,20,0,11,16
31,31,0,10,3,16,15,1,5
32,32,8,12,2,20,9,3,16
33,33,13,10,3,16,20,18,14
34,34,1,16,5,10,7,15,12
35,35,7,13,4,16,8,12,2
36,36,0,15,7,5,16,2,3
37,37,14,10,17,3,8,6,9
38,38,14,13,20,4,19,15,2
39,39,6,20,12,10,3,4,19
40,40,16,12,7,17,11,2,9
41,41,18,7,4,8,20,14,11
42,42,5,4,3,13,19,7,10
43,43,13,7,8,15,10,11,17
44,44,17,19,4,6,11,7,12
45,45,9,2,0,15,16,14,7
46,46,9,17,20,8,16,10,12
47,47,6,3,0,9,1,17,16
48,48,18,2,19,20,11,4,8
