,round,tube0,tube1,tube2
0,0,4,2,5
1,1,3,1,2
2,2,1,3,2
3,3,8,5,9
4,4,5,3,1
5,5,2,8,9
6,6,7,8,0
7,7,5,4,3
8,8,8,6,0
9,9,0,8,4
10,10,6,9,8
11,11,2,1,3
12,12,4,2,5
13,13,1,3,8
14,14,2,3,9
15,15,0,3,5
16,16,2,9,7
17,17,9,8,5
18,18,2,5,3
19,19,0,9,4
20,20,7,5,0
21,21,7,2,5
22,22,3,7,8
23,23,9,5,8
