,round,tube0,tube1,tube2
0,0,6,8,2
1,1,1,3,7
2,2,8,9,0
3,3,5,9,7
4,4,8,0,3
5,5,7,0,9
6,6,7,6,1
7,7,5,2,4
8,8,8,9,3
9,9,7,5,6
10,10,1,5,6
11,11,7,9,2
12,12,1,8,4
13,13,7,5,9
14,14,1,6,8
15,15,7,4,8
16,16,0,7,4
17,17,3,7,5
18,18,5,0,9
19,19,4,8,5
20,20,4,2,3
21,21,3,0,5
22,22,7,0,8
23,23,2,4,7
