,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,4,5,3,14,13,0,11
1,1,16,10,1,8,11,20,3
2,2,19,6,7,5,17,4,16
3,3,18,15,17,0,3,12,1
4,4,3,15,1,17,2,16,11
5,5,0,20,3,8,6,18,19
6,6,17,2,12,11,0,15,8
7,7,19,3,20,10,13,14,4
8,8,1,15,18,14,11,2,6
9,9,17,20,4,3,18,10,12
10,10,18,15,3,20,8,14,19
11,11,19,6,14,16,2,15,18
12,12,13,7,11,18,1,12,5
13,13,11,17,14,4,0,19,15
14,14,16,17,0,4,15,12,10
15,15,16,14,6,0,2,17,12
16,16,20,12,10,8,2,9,7
17,17,5,12,17,4,8,10,20
18,18,15,14,12,16,0,11,6
19,19,3,6,17,18,0,8,2
20,20,14,2,19,5,11,15,17
21,21,9,4,6,14,18,2,10
22,22,7,3,4,0,16,2,9
23,23,5,8,17,16,20,13,12
24,24,7,12,4,16,20,6,8
25,25,10,5,6,13,4,14,9
26,26,19,6,2,17,14,16,12
27,27,10,1,9,7,6,13,4
28,28,13,7,15,2,19,14,4
29,29,6,3,13,10,11,16,4
30,30,16,5,0,19,12,4,9
31,31,5,11,19,18,8,12,16
32,32,5,1,10,14,6,9,18
33,33,14,19,4,3,6,13,10
34,34,16,18,4,9,6,7,19
35,35,0,10,13,15,16,19,9
36,36,16,19,13,20,7,8,5
37,37,19,10,11,4,2,9,3
38,38,5,10,13,12,7,8,2
39,39,11,18,10,12,8,17,14
40,40,13,16,20,7,12,14,3
41,41,20,6,2,18,13,1,8
42,42,17,2,18,12,13,15,4
43,43,8,0,18,10,2,17,19
44,44,4,3,9,10,16,1,12
45,45,15,10,8,20,9,1,11
46,46,12,17,13,1,16,19,15
47,47,11,5,4,10,0,2,6
48,48,17,19,12,0,16,18,1
