,round,tube0,tube1,tube2
0,0,0,7,6
1,1,4,0,5
2,2,5,0,9
3,3,9,7,5
4,4,5,1,2
5,5,6,2,0
6,6,6,2,7
7,7,8,6,1
8,8,2,4,8
9,9,5,0,8
10,10,1,2,8
11,11,6,1,5
12,12,9,3,8
13,13,0,1,7
14,14,9,3,4
15,15,5,9,7
16,16,2,3,5
17,17,8,7,9
18,18,6,8,1
19,19,9,7,1
20,20,2,5,1
21,21,3,1,5
22,22,9,1,2
23,23,4,3,8
