,round,tube,sp,st,final_pop
0,0,0,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",734
1,0,0,8,"(0.0, 0.0, 0.016361534780228625, 0.002658825062318821, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",6
2,0,0,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.01946319530564617, 0.011466327601190322, 0.010538913915357996)",10
3,0,0,8,"(0.0, 0.0, 0.010520653456595305, 0.006005272577998143, 0.0, 0.006657103261947622, 0.017891929144999947, 0.017443176133622482, 0.005336252184810034, 0.018539301351747462)",28
4,0,1,8,"(0.0, 0.0, 0.016361534780228625, 0.002658825062318821, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",11
5,0,1,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",717
6,0,1,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.01946319530564617, 0.011466327601190322, 0.010538913915357996)",35
7,0,1,8,"(0.0, 0.0, 0.010520653456595305, 0.006005272577998143, 0.0, 0.006657103261947622, 0.017891929144999947, 0.017443176133622482, 0.005336252184810034, 0.018539301351747462)",44
8,0,2,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",816
9,0,2,8,"(0.0, 0.0, 0.016361534780228625, 0.002658825062318821, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",4
10,0,2,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.01946319530564617, 0.011466327601190322, 0.010538913915357996)",6
