,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,12,7,1,13,3,14,5
1,1,19,7,5,0,2,12,4
2,2,2,7,13,15,8,3,10
3,3,6,16,12,1,0,5,10
4,4,11,7,15,18,9,2,10
5,5,8,16,14,20,0,13,17
6,6,5,11,4,6,10,7,1
7,7,14,2,6,19,3,13,18
8,8,0,1,14,7,8,10,2
9,9,0,8,16,11,3,5,10
10,10,15,18,11,12,13,17,20
11,11,4,3,1,13,2,12,14
12,12,0,7,12,8,1,17,18
13,13,5,11,8,4,6,14,15
14,14,17,18,2,14,15,12,11
15,15,12,16,14,8,15,5,10
16,16,17,14,0,19,9,16,15
17,17,2,18,14,19,5,13,11
18,18,6,18,12,13,0,19,17
19,19,12,5,20,4,13,6,11
20,20,11,8,19,3,12,17,0
21,21,13,16,3,14,9,4,17
22,22,4,9,8,14,20,17,19
23,23,4,0,14,7,5,19,6
24,24,11,8,0,2,14,5,16
25,25,1,11,9,8,7,10,2
26,26,13,11,18,20,19,2,0
27,27,1,5,0,2,14,4,15
28,28,16,17,6,10,3,11,15
29,29,4,10,5,14,2,18,13
30,30,14,13,20,9,1,7,2
31,31,3,1,4,19,13,17,0
32,32,10,13,18,1,2,4,3
33,33,16,19,17,15,11,12,13
34,34,1,11,6,9,7,8,20
35,35,2,20,5,9,15,19,17
36,36,12,17,6,10,19,8,16
37,37,4,2,12,18,11,19,20
38,38,1,15,18,4,2,10,14
39,39,18,1,15,17,9,13,11
40,40,17,19,2,7,1,9,12
41,41,6,0,9,14,13,15,18
42,42,9,12,4,17,7,5,13
43,43,19,16,9,17,8,6,20
44,44,0,1,9,18,8,17,12
45,45,6,13,17,9,16,1,2
46,46,11,1,5,4,9,6,14
47,47,16,6,4,7,3,11,9
48,48,0,15,10,3,6,13,2
