,round,tube0,tube1,tube2
0,0,4,1,0
1,1,3,5,9
2,2,3,1,0
3,3,4,2,5
4,4,3,7,2
5,5,4,6,9
6,6,8,4,5
7,7,7,9,3
8,8,9,7,5
9,9,9,7,0
10,10,8,3,9
11,11,5,7,0
12,12,0,9,2
13,13,9,2,5
14,14,5,1,7
15,15,5,1,2
16,16,6,4,9
17,17,4,8,1
18,18,6,8,4
19,19,5,3,7
20,20,3,8,7
21,21,6,1,9
22,22,2,5,8
23,23,0,3,4
