,round,tube,sp,st,final_pop
37,0,3,12,"(0.1431438549521808, 0.07098421666459682, 0.0, 0.0, 0.0, 0.0, 0.20188557309394728, 0.05107774537518032, 0.0, 0.057272911791666214)",64
38,0,4,1,"(0.037568416206960824, 0.0, 0.0, 0.1209106235135264, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
39,0,4,1,"(0.015942926802717708, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
40,0,4,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",417
41,0,4,1,"(0.01423507054326358, 0.0, 0.0, 0.05816115269720993, 0.2667732097353895, 0.0, 0.0, 0.0, 0.24253084167451877, 0.0)",1
42,0,4,1,"(0.01423507054326358, 0.0, 0.0, 0.09007764845750801, 0.2667732097353895, 0.0, 0.0, 0.0, 0.22078408115151363, 0.0)",5
43,0,4,2,"(0.0049839865232102236, 0.0, 0.050983883041683255, 0.0, 0.018018540426765272, 0.0, 0.0, 0.0, 0.0, 0.08105041580639258)",49
44,0,4,2,"(0.0049839865232102236, 0.0, 0.050983883041683255, 0.0, 0.022312705552180116, 0.0, 0.0, 0.0, 0.0, 0.0631215074739439)",2
45,0,4,4,"(0.16488775833997968, 0.04886499162218148, 0.0, 0.044088279107617735, 0.0, 0.0, 0.0, 0.0, 0.14875458854448032, 0.16046160667189419)",81
46,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.21101080994828972, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",1
47,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.0832196282223036, 0.0, 0.1842944379780426)",2
48,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.0913176056060206, 0.0, 0.3331863490782293)",1
49,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.21786269821920728, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1399387529642065)",2
50,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.08491484438555914, 0.0, 0.4410319739769268)",3
51,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.09927140153956872, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",1
52,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.15988227511200978, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",3
53,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.1842944379780426)",385
54,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.02059151876163075, 0.0, 0.1842944379780426)",5
55,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.1640106010697726, 0.0, 0.0, 0.05924345412590238, 0.0, 0.43963742852354054)",1
56,0,4,7,"(0.0, 0.0, 0.0, 0.0, 0.13112251433948954, 0.0, 0.0, 0.034538252710968664, 0.0, 0.1842944379780426)",1
57,0,5,2,"(0.0049839865232102236, 0.0, 0.050983883041683255, 0.0, 0.018018540426765272, 0.0, 0.0, 0.0, 0.0, 0.08105041580639258)",19
58,0,5,6,"(0.03582317191957472, 0.14310947873894084, 0.0, 0.32923108847706883, 0.0, 0.12566354094304966, 0.0, 0.0, 0.3100360890930547, 0.0)",5
59,0,5,12,"(0.1431438549521808, 0.07098421666459682, 0.0, 0.0, 0.0, 0.0, 0.20188557309394728, 0.05107774537518032, 0.0, 0.057272911791666214)",52
60,0,5,13,"(0.05539516110147199, 0.2324089457760683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10615007620645343, 0.0, 0.1750621008401039)",76
61,0,6,2,"(0.0049839865232102236, 0.0, 0.050983883041683255, 0.0, 0.018018540426765272, 0.0, 0.0, 0.0, 0.0, 0.08105041580639258)",4
62,0,6,8,"(0.0, 0.013504757268984773, 0.029164962573492798, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
63,0,6,8,"(0.0, 0.011348251206667947, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",1
64,0,6,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00047825894946104756, 0.0, 0.0, 0.0)",1
65,0,6,8,"(0.0, 0.015222689156006277, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",2
66,0,6,8,"(0.0, 0.017869740591544305, 0.02852076469392659, 0.0, 0.0, 0.0, 0.0003428401530716831, 0.0, 0.0, 0.0)",2
