,round,tube,sp,st,final_pop
0,0,0,8,"(0.0, 0.016643627919484913, 0.016061892957711352, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",73
1,0,0,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",29
2,0,0,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",15
3,0,0,8,"(0.0, 0.016643627919484913, 0.03118602771568636, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",28
4,0,0,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00016555861694442415, 0.0, 0.0, 0.0)",23
5,0,0,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.0002759915872131704, 0.0, 0.0, 0.0)",59
6,0,0,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00030009167558242556, 0.0, 0.0, 0.0)",7
7,0,1,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00016555861694442415, 0.0, 0.0, 0.0)",10
8,0,1,8,"(0.0, 0.016643627919484913, 0.016061892957711352, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",118
9,0,1,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",94
10,0,1,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",85
11,0,1,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00030009167558242556, 0.0, 0.0, 0.0)",4
12,0,1,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.0002759915872131704, 0.0, 0.0, 0.0)",25
13,0,1,8,"(0.0, 0.016643627919484913, 0.03118602771568636, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",10
14,0,2,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00016555861694442415, 0.0, 0.0, 0.0)",106
15,0,2,8,"(0.0, 0.016643627919484913, 0.02852076469392659, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",43
16,0,2,8,"(0.0, 0.016643627919484913, 0.016061892957711352, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",112
17,0,2,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",30
18,0,2,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.00030009167558242556, 0.0, 0.0, 0.0)",11
19,0,2,8,"(0.0, 0.016643627919484913, 0.03118602771568636, 0.0, 0.0, 0.0, 0.00026087500255182283, 0.0, 0.0, 0.0)",10
20,0,2,8,"(0.0, 0.016643627919484913, 0.01588848217059262, 0.0, 0.0, 0.0, 0.0002759915872131704, 0.0, 0.0, 0.0)",51
