,round,tube0,tube1,tube2
0,0,3,8,9
1,1,9,7,2
2,2,0,6,4
3,3,7,2,8
4,4,2,8,5
5,5,5,7,6
6,6,7,2,6
7,7,6,7,5
8,8,2,0,4
9,9,7,4,6
10,10,8,5,4
11,11,4,1,8
12,12,7,8,5
13,13,1,3,9
14,14,3,1,9
15,15,8,6,0
16,16,9,0,6
17,17,6,4,0
18,18,8,5,7
19,19,2,1,6
20,20,5,0,4
21,21,8,9,0
22,22,5,4,1
23,23,5,1,3
