,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,19,15,14,0,17,18,16
1,1,6,18,11,17,8,3,14
2,2,0,2,13,9,20,16,7
3,3,15,2,5,12,4,6,10
4,4,10,14,17,12,11,6,1
5,5,1,3,20,19,4,6,0
6,6,7,10,0,13,5,1,4
7,7,4,16,1,15,0,9,14
8,8,8,11,0,20,18,17,13
9,9,19,18,16,9,10,2,11
10,10,0,14,15,17,20,1,4
11,11,0,15,4,7,8,18,20
12,12,8,18,4,5,12,20,19
13,13,0,2,5,15,6,9,16
14,14,11,4,19,8,0,13,2
15,15,18,6,13,9,7,15,3
16,16,15,12,4,11,18,10,3
17,17,20,15,8,7,16,9,13
18,18,4,5,3,18,15,6,0
19,19,12,4,1,8,3,16,6
20,20,4,1,5,0,11,8,14
21,21,12,20,11,4,18,16,17
22,22,1,19,17,8,4,0,5
23,23,10,9,1,3,13,14,2
24,24,18,3,4,8,0,12,20
25,25,14,15,16,18,11,4,3
26,26,20,13,4,7,15,6,18
27,27,12,16,3,17,7,1,10
28,28,20,13,2,7,17,9,14
29,29,12,6,7,9,0,13,17
30,30,3,20,16,2,12,14,4
31,31,3,16,12,17,0,8,13
32,32,10,12,2,16,6,14,19
33,33,3,1,10,18,16,20,4
34,34,0,16,8,13,7,3,17
35,35,16,6,3,13,7,10,8
36,36,1,5,8,2,20,7,16
37,37,16,0,3,18,2,13,14
38,38,18,20,16,10,5,11,1
39,39,3,14,2,9,13,17,4
40,40,18,10,11,20,2,0,9
41,41,1,6,14,16,0,17,9
42,42,3,0,14,18,10,16,1
43,43,17,12,9,0,10,2,20
44,44,3,9,11,1,14,12,15
45,45,13,12,8,11,19,4,0
46,46,19,2,4,10,8,17,3
47,47,8,3,16,9,18,6,12
48,48,19,6,15,7,1,0,17
