,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,4,5,9,3,14,18,0
1,1,7,20,19,8,5,10,2
2,2,14,8,10,18,13,12,11
3,3,10,0,9,3,18,4,13
4,4,7,8,19,3,6,2,15
5,5,9,15,1,18,11,5,4
6,6,20,16,12,7,18,14,3
7,7,1,14,7,4,9,19,15
8,8,2,10,17,16,18,3,9
9,9,12,7,5,9,17,18,1
10,10,1,12,11,18,2,20,4
11,11,10,15,18,3,17,11,16
12,12,13,11,8,14,6,15,0
13,13,0,5,9,4,1,15,13
14,14,5,0,8,3,14,12,19
15,15,14,13,6,9,20,0,8
16,16,0,7,6,5,12,3,16
17,17,16,8,3,9,19,14,6
18,18,18,10,14,16,19,2,11
19,19,8,15,16,19,13,0,17
20,20,9,2,16,17,3,18,11
21,21,17,20,2,11,3,10,8
22,22,8,15,18,16,6,4,1
23,23,12,15,3,11,10,9,17
24,24,18,7,15,2,14,4,3
25,25,1,2,3,13,10,19,18
26,26,8,17,12,1,15,9,5
27,27,14,19,17,18,15,10,5
28,28,14,4,16,6,15,18,1
29,29,20,12,10,18,11,6,14
30,30,5,20,16,2,4,3,12
31,31,15,11,18,12,19,20,7
32,32,15,11,8,7,3,9,17
33,33,16,0,10,19,9,2,15
34,34,9,17,19,14,6,11,10
35,35,3,10,1,11,0,2,5
36,36,12,20,8,10,4,5,16
37,37,5,4,14,0,1,12,8
38,38,4,17,9,2,20,18,16
39,39,6,2,0,9,10,15,3
40,40,16,19,11,1,15,2,18
41,41,14,1,12,10,6,15,19
42,42,20,16,1,17,14,0,18
43,43,14,0,12,5,10,6,8
44,44,2,1,9,4,19,20,12
45,45,18,10,2,0,6,5,16
46,46,7,12,1,8,15,17,19
47,47,13,16,6,18,7,17,14
48,48,18,2,20,1,7,5,15
