,round,tube0,tube1,tube2
0,0,5,6,2
1,1,2,4,0
2,2,5,4,9
3,3,8,0,1
4,4,6,2,1
5,5,5,6,2
6,6,8,0,2
7,7,2,1,9
8,8,7,4,2
9,9,0,3,8
10,10,1,2,0
11,11,4,3,5
12,12,0,3,2
13,13,0,4,7
14,14,6,1,9
15,15,9,1,2
16,16,1,0,3
17,17,7,8,6
18,18,3,1,5
19,19,1,7,9
20,20,7,2,8
21,21,5,6,3
22,22,0,3,2
23,23,2,7,8
