,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,7,11,13,1,18,10,9
1,1,10,0,6,14,9,11,17
2,2,12,10,8,0,5,15,14
3,3,7,4,12,15,17,13,1
4,4,4,7,12,13,9,8,0
5,5,19,15,12,2,0,1,17
6,6,20,2,1,8,9,16,17
7,7,9,8,20,17,12,0,4
8,8,20,3,14,11,4,12,5
9,9,10,2,16,20,5,6,13
10,10,6,5,15,0,17,4,14
11,11,2,3,14,17,1,8,12
12,12,5,4,3,9,15,10,11
13,13,6,7,19,8,9,16,0
14,14,16,0,7,19,5,17,11
15,15,4,14,18,7,9,5,19
16,16,16,2,10,4,6,20,5
17,17,3,6,0,1,13,20,11
18,18,7,14,11,9,19,15,3
19,19,15,6,7,13,10,14,11
20,20,3,20,11,9,17,4,8
21,21,5,16,2,4,14,11,19
22,22,19,4,0,15,2,17,14
23,23,12,15,5,4,18,8,0
24,24,13,15,17,3,8,1,14
25,25,14,4,7,8,1,9,6
26,26,0,6,8,7,16,2,11
27,27,11,13,9,20,0,2,15
28,28,19,18,4,17,20,11,6
29,29,11,14,6,20,4,1,19
30,30,5,10,12,16,3,13,4
31,31,9,11,14,6,7,10,15
32,32,3,1,6,8,19,12,16
33,33,11,13,16,15,12,2,9
34,34,0,6,10,13,4,11,14
35,35,15,10,14,9,5,3,18
36,36,17,4,18,7,16,0,12
37,37,7,5,3,4,0,9,20
38,38,7,16,12,13,19,18,0
39,39,4,2,6,5,19,8,14
40,40,11,20,9,14,5,0,1
41,41,10,8,2,7,15,5,12
42,42,0,4,2,13,20,8,15
43,43,12,3,13,6,11,16,4
44,44,1,9,17,3,8,16,4
45,45,7,0,10,3,11,2,16
46,46,17,12,6,2,11,14,20
47,47,12,9,18,5,20,6,4
48,48,1,20,10,3,19,4,0
