,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,18,2,3,6,11,9,0
1,1,7,9,14,10,6,5,11
2,2,16,12,11,17,0,15,3
3,3,12,17,20,2,5,0,4
4,4,4,7,3,9,16,2,15
5,5,10,18,8,1,7,9,5
6,6,5,13,9,4,17,19,12
7,7,16,0,17,3,4,13,11
8,8,16,1,4,0,12,7,2
9,9,6,11,7,8,1,3,16
10,10,18,4,14,17,20,1,2
11,11,10,20,18,11,3,5,16
12,12,18,0,13,7,20,2,3
13,13,7,6,13,9,12,11,20
14,14,14,1,8,4,9,16,7
15,15,1,8,7,10,4,15,12
16,16,13,5,6,14,17,20,9
17,17,8,0,16,10,4,1,15
18,18,4,11,0,14,17,6,20
19,19,16,7,11,14,17,2,13
20,20,20,16,7,13,8,0,11
21,21,3,12,14,18,15,11,1
22,22,2,9,13,1,16,17,10
23,23,16,18,3,20,17,6,15
24,24,8,0,17,7,3,16,11
25,25,17,12,19,16,1,8,6
26,26,14,7,15,18,6,20,4
27,27,7,8,12,20,2,4,13
28,28,1,4,8,6,13,20,3
29,29,3,10,12,18,15,16,5
30,30,5,20,12,13,4,1,8
31,31,7,14,6,9,0,18,5
32,32,2,9,14,10,15,18,1
33,33,5,4,15,19,11,12,16
34,34,15,3,1,14,19,16,18
35,35,0,7,1,4,8,10,3
36,36,14,8,10,11,4,2,5
37,37,20,7,9,15,17,0,18
38,38,12,18,7,6,4,14,17
39,39,5,6,3,19,16,2,7
40,40,7,0,10,9,5,6,18
41,41,16,12,20,6,4,1,8
42,42,5,0,4,12,6,18,10
43,43,12,10,18,9,20,7,11
44,44,12,14,15,4,20,13,10
45,45,2,8,1,10,19,0,16
46,46,20,18,0,7,6,4,5
47,47,16,8,1,18,14,19,13
48,48,16,2,15,12,10,0,14
