,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,7,2,4,11,1,18,12
1,1,13,3,16,7,14,17,20
2,2,3,1,4,20,6,13,8
3,3,13,0,6,10,17,3,14
4,4,11,5,4,19,15,8,7
5,5,14,3,5,4,10,20,0
6,6,17,19,15,8,11,1,20
7,7,13,18,0,11,10,1,15
8,8,0,19,18,9,4,11,5
9,9,4,12,0,13,11,8,16
10,10,3,4,15,10,0,7,12
11,11,2,10,17,5,3,8,0
12,12,9,10,20,3,5,1,19
13,13,10,16,0,4,13,11,19
14,14,1,11,6,4,17,20,3
15,15,8,1,5,20,7,14,2
16,16,17,18,13,4,15,3,20
17,17,6,0,1,20,7,8,5
18,18,9,0,15,8,3,5,18
19,19,8,10,20,4,3,7,5
20,20,15,12,9,8,4,6,14
21,21,5,3,11,1,7,10,16
22,22,20,7,14,8,6,5,19
23,23,10,19,17,8,14,7,11
24,24,14,13,4,17,12,7,9
25,25,13,4,14,3,18,11,9
26,26,11,18,6,4,8,5,12
27,27,0,20,18,5,19,11,16
28,28,20,12,9,8,6,14,11
29,29,18,2,4,7,16,17,0
30,30,11,3,13,12,8,0,20
31,31,18,12,6,16,13,0,17
32,32,16,1,19,2,11,4,3
33,33,14,18,16,20,10,0,19
34,34,13,8,2,6,16,14,20
35,35,16,2,14,6,19,11,4
36,36,1,14,16,15,0,8,20
37,37,18,9,4,19,2,13,16
38,38,7,8,17,20,5,16,12
39,39,14,11,1,2,16,15,7
40,40,18,7,8,6,3,9,20
41,41,11,20,9,10,0,5,15
42,42,9,17,13,15,14,6,16
43,43,1,14,6,9,7,0,12
44,44,0,4,5,18,7,9,11
45,45,12,6,9,20,18,11,0
46,46,8,16,3,14,11,2,1
47,47,0,20,3,5,7,16,15
48,48,19,11,5,7,13,14,16
