,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,5,16,8,20,10,4,12
1,1,15,16,9,13,11,18,7
2,2,20,3,4,14,2,16,0
3,3,5,2,7,17,12,0,9
4,4,12,7,16,13,18,8,17
5,5,0,8,17,15,13,6,18
6,6,4,9,3,0,15,14,8
7,7,2,12,15,14,1,16,3
8,8,9,11,2,4,15,7,18
9,9,15,14,19,9,17,5,3
10,10,11,1,2,0,19,3,17
11,11,9,4,19,12,7,3,20
12,12,16,15,1,0,6,8,5
13,13,14,5,3,17,6,20,8
14,14,14,15,19,13,1,4,5
15,15,1,5,11,16,8,9,20
16,16,0,14,11,13,10,18,15
17,17,18,20,14,6,4,9,2
18,18,0,18,19,12,17,2,3
19,19,6,9,12,19,11,10,13
20,20,9,7,14,15,19,12,5
21,21,7,13,6,4,2,20,15
22,22,6,7,16,2,20,14,18
23,23,20,5,13,16,11,6,19
24,24,10,6,19,16,0,1,13
25,25,6,1,10,12,7,0,8
26,26,7,4,17,9,16,10,8
27,27,16,15,6,20,2,4,12
28,28,0,10,12,6,18,11,14
29,29,12,16,19,9,15,10,3
30,30,5,9,12,18,4,15,8
31,31,6,8,13,3,5,18,7
32,32,4,12,18,16,1,2,5
33,33,19,20,3,17,0,4,14
34,34,4,9,20,10,2,7,5
35,35,14,7,20,11,4,10,15
36,36,3,20,8,19,4,0,6
37,37,16,8,11,15,7,9,12
38,38,3,11,9,20,5,12,18
39,39,4,8,3,1,12,10,14
40,40,10,4,7,18,16,9,3
41,41,8,7,12,19,6,4,20
42,42,8,14,18,2,6,10,19
43,43,18,6,20,11,15,0,8
44,44,19,17,8,11,14,13,6
45,45,16,1,11,12,7,10,2
46,46,17,8,13,5,6,1,14
47,47,19,3,12,1,8,5,16
48,48,7,14,3,15,1,0,13
