,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,20,3,4,7,12,11,15
1,1,14,6,2,3,1,12,18
2,2,14,4,15,5,3,18,7
3,3,19,2,16,8,18,1,15
4,4,1,14,6,20,9,8,10
5,5,12,3,13,8,10,5,4
6,6,5,11,1,16,17,14,12
7,7,19,11,4,0,3,9,17
8,8,0,16,11,3,18,19,8
9,9,6,10,16,8,7,1,19
10,10,10,15,7,9,13,11,2
11,11,7,10,19,13,4,11,17
12,12,18,16,1,6,14,15,3
13,13,19,16,14,0,5,2,9
14,14,20,5,11,16,12,1,8
15,15,20,14,7,10,4,5,9
16,16,10,3,1,18,14,6,8
17,17,3,15,19,7,16,9,4
18,18,16,3,10,17,1,8,5
19,19,12,11,19,16,8,15,2
20,20,14,0,2,15,10,4,13
21,21,1,9,8,14,17,12,20
22,22,19,2,20,8,9,18,5
23,23,9,14,8,11,4,12,10
24,24,3,11,20,1,2,7,8
25,25,6,5,15,1,18,14,10
26,26,15,10,19,6,13,18,9
27,27,9,20,10,19,8,6,14
28,28,10,0,18,19,2,15,4
29,29,6,17,20,19,18,2,5
30,30,18,9,0,7,13,17,1
31,31,7,19,15,14,20,13,9
32,32,8,11,15,4,16,0,2
33,33,20,14,0,12,11,19,13
34,34,2,11,1,17,16,5,18
35,35,3,14,4,18,1,9,6
36,36,1,17,14,9,7,2,6
37,37,9,7,0,4,19,12,6
38,38,14,17,19,2,1,5,16
39,39,12,14,9,19,4,7,16
40,40,4,0,11,6,3,16,20
41,41,7,14,3,11,12,1,13
42,42,1,3,9,7,4,6,13
43,43,16,3,5,19,1,15,7
44,44,13,18,10,16,14,19,6
45,45,16,19,5,17,15,0,4
46,46,9,6,19,10,1,3,5
47,47,3,11,0,16,19,18,2
48,48,10,12,18,3,9,13,1
