,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,8,1,0,7,16,2,4
1,1,8,11,6,13,12,3,9
2,2,10,6,4,13,15,1,17
3,3,6,14,3,16,10,8,15
4,4,17,11,4,9,6,12,14
5,5,20,15,2,3,1,10,14
6,6,18,6,11,7,5,14,0
7,7,11,2,18,1,8,0,16
8,8,10,1,16,19,7,0,15
9,9,8,14,19,4,9,3,11
10,10,4,10,13,3,12,5,15
11,11,12,16,3,9,1,7,20
12,12,6,18,5,2,17,10,0
13,13,2,13,19,0,3,11,9
14,14,3,17,12,19,4,2,0
15,15,17,13,3,20,8,15,4
16,16,16,4,5,1,6,17,3
17,17,16,18,5,15,19,17,20
18,18,2,13,17,7,19,15,14
19,19,8,12,17,3,18,6,2
20,20,2,16,15,6,12,1,5
21,21,20,14,17,11,18,4,8
22,22,18,12,2,11,16,9,19
23,23,15,2,20,19,16,12,7
24,24,11,0,8,17,19,7,9
25,25,14,13,2,19,3,6,0
26,26,5,10,11,2,12,8,6
27,27,12,14,7,18,17,13,4
28,28,13,20,0,4,15,16,17
29,29,10,20,16,14,5,12,9
30,30,6,10,16,11,4,1,9
31,31,2,5,19,13,18,0,16
32,32,13,3,0,18,14,12,4
33,33,0,14,15,19,8,11,5
34,34,10,15,4,0,7,8,14
35,35,8,2,19,14,3,12,6
36,36,18,16,2,13,3,12,19
37,37,7,1,11,9,4,14,6
38,38,3,6,8,10,11,7,2
39,39,17,2,0,19,5,11,8
40,40,0,8,18,15,19,10,9
41,41,13,18,11,16,8,15,3
42,42,20,14,6,2,4,1,8
43,43,6,19,1,9,2,8,15
44,44,16,20,14,8,9,11,1
45,45,19,20,7,12,14,18,13
46,46,0,19,4,6,5,8,15
47,47,17,19,10,12,5,15,8
48,48,2,16,19,12,4,3,1
