,round,tube0,tube1,tube2
0,0,8,6,0
1,1,9,3,5
2,2,3,4,0
3,3,9,2,8
4,4,2,9,5
5,5,8,5,1
6,6,9,0,7
7,7,6,3,1
8,8,3,4,8
9,9,0,6,5
10,10,6,5,3
11,11,7,2,9
12,12,7,6,5
13,13,8,4,5
14,14,8,4,0
15,15,4,7,3
16,16,4,6,2
17,17,6,0,2
18,18,1,9,3
19,19,5,1,8
20,20,2,6,7
21,21,5,8,6
22,22,2,0,3
23,23,0,4,3
