,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,3,9,1,20,15,17,2
1,1,15,9,8,5,17,1,20
2,2,9,20,15,11,0,1,19
3,3,0,2,3,8,19,5,10
4,4,18,6,17,9,12,10,4
5,5,13,11,7,18,2,17,0
6,6,5,15,19,2,12,3,9
7,7,7,16,12,17,11,19,20
8,8,9,2,0,8,16,3,11
9,9,16,14,13,2,19,9,4
10,10,9,1,4,7,13,6,3
11,11,1,12,18,9,5,6,13
12,12,11,3,7,2,19,10,1
13,13,5,7,0,6,13,15,11
14,14,14,6,16,4,10,11,15
15,15,19,14,2,9,10,4,15
16,16,5,14,20,11,7,15,19
17,17,13,11,16,8,4,7,19
18,18,5,6,16,12,18,1,11
19,19,4,5,14,16,9,8,7
20,20,8,20,15,12,13,5,3
21,21,12,20,0,10,11,13,19
22,22,14,3,16,9,6,7,1
23,23,11,10,3,17,2,0,15
24,24,9,7,17,18,16,13,12
25,25,19,17,4,15,14,3,7
26,26,17,2,11,5,10,12,4
27,27,18,4,13,20,19,1,2
28,28,2,14,9,15,18,7,16
29,29,19,12,15,16,17,10,3
30,30,2,12,5,6,3,10,20
31,31,2,17,6,9,13,7,12
32,32,7,16,2,0,6,18,9
33,33,10,5,14,8,18,13,3
34,34,17,2,10,8,13,18,16
35,35,2,1,11,16,14,17,20
36,36,20,2,18,9,10,14,0
37,37,13,0,1,6,10,9,5
38,38,0,3,17,7,13,18,8
39,39,15,20,8,16,5,9,4
40,40,11,2,12,14,13,4,15
41,41,2,13,6,16,8,18,12
42,42,2,3,20,4,11,15,0
43,43,12,20,2,16,11,7,13
44,44,16,20,9,4,3,13,19
45,45,1,0,10,5,8,2,13
46,46,12,2,3,17,4,13,15
47,47,10,5,20,14,2,7,0
48,48,4,14,16,0,13,9,18
