,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,7,2,4,11,1,18,12
1,1,0,19,1,7,12,11,10
2,2,16,12,0,6,2,17,19
3,3,0,9,2,14,15,11,18
4,4,15,10,8,6,13,17,4
5,5,11,15,16,7,14,1,12
6,6,13,10,20,5,0,9,11
7,7,4,13,6,16,7,8,15
8,8,1,7,3,2,20,9,19
9,9,14,6,11,5,16,10,7
10,10,13,1,4,18,16,17,10
11,11,12,3,0,6,7,17,16
12,12,13,10,14,17,4,15,20
13,13,15,11,9,4,20,0,2
14,14,6,15,17,11,10,13,19
15,15,7,9,16,13,11,19,18
16,16,17,10,2,13,8,18,11
17,17,3,12,6,9,17,10,18
18,18,12,8,19,2,18,14,15
19,19,13,15,5,20,2,18,1
20,20,12,10,20,1,19,14,9
21,21,15,17,1,5,3,8,9
22,22,12,17,0,14,7,15,3
23,23,16,10,18,13,7,8,11
24,24,11,13,7,16,17,1,0
25,25,18,4,8,7,20,16,6
26,26,11,18,4,15,16,10,12
27,27,9,18,15,2,11,8,1
28,28,14,1,3,15,12,2,16
29,29,19,8,0,6,18,3,2
30,30,18,19,7,0,15,5,13
31,31,16,9,15,0,11,20,5
32,32,17,18,0,9,3,4,11
33,33,11,6,8,16,0,13,4
34,34,3,16,0,11,5,6,20
35,35,1,5,15,8,11,0,13
36,36,2,0,15,16,14,4,10
37,37,19,18,1,20,7,12,15
38,38,19,7,12,3,10,6,14
39,39,18,10,5,3,15,6,8
40,40,2,16,8,5,15,17,9
41,41,2,14,0,15,7,5,20
42,42,20,18,12,3,4,11,0
43,43,4,1,11,10,8,6,13
44,44,2,9,18,5,0,17,8
45,45,5,2,8,14,13,6,7
46,46,14,11,3,19,4,8,5
47,47,15,3,2,14,20,5,10
48,48,12,19,9,18,11,20,3
