,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,4,12,10,13,11,7,0
1,1,2,1,0,3,5,4,9
2,2,4,3,8,7,2,5,0
3,3,10,16,18,11,15,8,0
4,4,9,15,12,18,11,0,10
5,5,1,2,17,12,18,8,6
6,6,5,20,1,16,4,7,9
7,7,12,17,1,11,9,2,3
8,8,2,5,0,17,9,8,14
9,9,18,0,9,2,5,16,8
10,10,18,8,12,19,7,6,17
11,11,20,6,2,15,1,12,10
12,12,1,0,2,10,12,7,3
13,13,3,19,4,1,15,7,13
14,14,7,6,18,5,11,17,1
15,15,7,8,6,4,2,3,9
16,16,7,15,18,8,19,2,6
17,17,11,15,17,4,10,2,9
18,18,5,3,4,1,2,14,13
19,19,4,12,14,2,11,7,9
20,20,15,6,9,0,4,20,2
21,21,6,2,12,19,10,9,15
22,22,11,17,5,12,9,15,3
23,23,0,1,12,15,5,9,20
24,24,8,3,1,17,4,15,18
25,25,5,2,4,20,19,16,12
26,26,0,20,19,18,7,1,6
27,27,1,18,3,6,17,13,8
28,28,9,1,7,3,11,2,6
29,29,2,10,17,11,14,9,15
30,30,13,1,7,11,2,4,16
31,31,0,1,2,7,13,19,20
32,32,8,12,2,10,5,3,13
33,33,17,5,16,4,20,7,0
34,34,15,1,3,2,16,10,12
35,35,8,19,10,6,7,13,11
36,36,11,20,9,15,10,4,19
37,37,4,8,0,20,6,13,15
38,38,15,6,13,10,18,9,4
39,39,19,12,5,3,4,11,9
40,40,18,6,5,10,19,1,3
41,41,6,16,7,12,20,9,13
42,42,3,7,2,5,11,12,16
43,43,14,18,3,8,17,11,20
44,44,9,1,13,8,6,5,0
45,45,2,0,10,7,13,17,3
46,46,8,11,6,4,16,0,19
47,47,9,4,5,11,3,20,12
48,48,4,5,15,16,18,12,8
