,round,tube0,tube1,tube2
0,0,5,7,3
1,1,7,2,4
2,2,7,0,3
3,3,5,6,0
4,4,7,4,2
5,5,4,5,9
6,6,8,1,3
7,7,2,7,6
8,8,5,4,2
9,9,9,1,5
10,10,0,7,9
11,11,4,6,9
12,12,8,7,4
13,13,0,3,7
14,14,2,6,9
15,15,2,4,0
16,16,1,4,9
17,17,5,6,1
18,18,4,8,2
19,19,2,3,4
20,20,7,4,9
21,21,7,4,6
22,22,3,7,4
23,23,5,2,7
