,round,tube0,tube1,tube2
0,0,5,6,4
1,1,9,2,3
2,2,2,3,8
3,3,4,6,0
4,4,6,8,4
5,5,7,4,1
6,6,7,2,9
7,7,1,2,7
8,8,6,8,7
9,9,2,6,1
10,10,2,1,4
11,11,1,5,3
12,12,8,9,1
13,13,9,1,5
14,14,7,4,0
15,15,3,7,4
16,16,6,9,7
17,17,2,6,4
18,18,3,4,6
19,19,3,0,6
20,20,6,2,4
21,21,3,0,8
22,22,0,3,4
23,23,0,3,5
