,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,14,0,18,13,1,3,6
1,1,4,14,6,9,11,20,13
2,2,2,13,20,16,11,0,6
3,3,6,0,20,8,4,19,13
4,4,17,20,0,9,6,10,3
5,5,10,0,14,18,7,17,6
6,6,12,16,15,18,1,9,11
7,7,3,5,4,2,13,14,8
8,8,16,1,6,19,3,9,4
9,9,13,3,10,19,4,17,1
10,10,0,3,18,2,11,8,10
11,11,11,9,20,2,16,12,7
12,12,7,0,4,14,12,6,20
13,13,9,20,14,10,6,5,1
14,14,6,10,18,9,4,2,15
15,15,0,19,1,3,8,6,18
16,16,20,7,6,3,18,9,5
17,17,2,9,14,7,3,10,16
18,18,9,12,1,0,2,15,11
19,19,10,16,1,8,18,17,0
20,20,0,2,4,1,11,8,7
21,21,3,6,13,10,15,4,20
22,22,16,12,5,0,15,2,19
23,23,2,11,12,1,6,4,5
24,24,16,6,14,13,18,4,9
25,25,15,11,7,4,6,16,14
26,26,18,3,5,2,8,6,4
27,27,10,16,4,1,13,14,6
28,28,8,13,9,4,20,19,16
29,29,1,9,17,15,10,16,6
30,30,20,19,13,10,11,5,4
31,31,15,19,11,5,9,7,1
32,32,8,10,7,14,11,19,3
33,33,17,13,20,11,9,14,16
34,34,10,9,12,13,8,2,19
35,35,17,14,12,0,19,5,16
36,36,20,12,7,0,10,14,9
37,37,16,18,1,12,3,5,14
38,38,1,6,12,5,0,10,4
39,39,18,11,6,15,13,14,7
40,40,12,11,14,8,3,5,4
41,41,5,10,16,9,15,7,19
42,42,6,0,1,14,15,19,10
43,43,0,10,1,20,2,13,17
44,44,19,7,9,4,8,15,20
45,45,6,8,13,7,0,18,4
46,46,12,17,15,9,1,20,6
47,47,2,5,17,7,10,4,15
48,48,1,8,17,0,19,12,20
