,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,11,4,17,14,16,6,8
1,1,3,15,7,19,6,20,9
2,2,4,16,2,14,10,0,15
3,3,8,16,10,20,18,2,1
4,4,6,7,1,9,15,12,11
5,5,2,9,14,20,18,3,13
6,6,6,3,14,16,0,13,10
7,7,6,19,15,5,4,8,9
8,8,18,12,0,20,16,4,15
9,9,17,5,0,10,18,2,13
10,10,13,4,9,19,17,5,12
11,11,7,19,11,6,2,5,14
12,12,6,0,9,14,5,2,8
13,13,13,0,16,5,15,18,4
14,14,2,5,0,11,17,20,15
15,15,15,18,16,19,11,10,3
16,16,5,6,8,20,13,11,1
17,17,15,0,17,7,2,20,6
18,18,4,5,12,13,19,16,0
19,19,3,18,1,16,17,15,19
20,20,19,18,4,13,7,10,11
21,21,16,1,4,20,8,3,14
22,22,4,20,12,2,9,6,8
23,23,10,20,5,1,17,19,3
24,24,13,17,1,18,15,11,20
25,25,15,9,13,16,12,3,2
26,26,4,1,5,14,12,19,16
27,27,3,4,5,19,0,16,14
28,28,0,3,6,17,11,7,15
29,29,13,19,4,11,1,9,2
30,30,18,10,7,2,14,1,15
31,31,16,11,7,0,19,10,4
32,32,2,20,3,7,15,16,0
33,33,13,19,6,18,2,17,4
34,34,19,13,10,9,18,16,7
35,35,13,20,5,9,17,19,15
36,36,9,10,16,14,19,2,4
37,37,10,8,13,20,1,14,0
38,38,15,1,5,20,0,14,4
39,39,4,8,15,9,1,18,7
40,40,18,17,4,6,10,14,5
41,41,3,0,11,2,8,5,6
42,42,5,20,15,19,12,18,11
43,43,6,10,14,17,0,13,15
44,44,4,9,0,1,6,16,15
45,45,18,13,3,15,6,12,1
46,46,16,0,17,7,18,5,1
47,47,13,0,4,17,6,5,12
48,48,14,20,8,9,18,17,7
