,round,tube,sp,st,final_pop
0,0,0,4,"(0.10509784900709393, 0.07234477101123146, 0.0, 0.0, 0.26258359679082327, 0.0, 0.006977264034027059, 0.10101363519051602, 0.024623093408164966, 0.0)",71
1,0,1,4,"(0.10509784900709393, 0.07234477101123146, 0.0, 0.0, 0.26258359679082327, 0.0, 0.006977264034027059, 0.10101363519051602, 0.024623093408164966, 0.0)",89
2,0,2,4,"(0.10509784900709393, 0.07234477101123146, 0.0, 0.0, 0.26258359679082327, 0.0, 0.006977264034027059, 0.10101363519051602, 0.024623093408164966, 0.0)",73
