,round,tube,sp,st,final_pop
0,0,0,13,"(0.0, 0.0, 0.024765653135150906, 0.0, 0.1333753480910457, 0.013875811363790319, 0.02271982369941325, 0.0, 0.11811188615698948, 0.022854187839533902)",152
1,0,0,13,"(0.0, 0.0, 0.04198794063234867, 0.0, 0.10087429390457471, 0.013875811363790319, 0.02271982369941325, 0.0, 0.11811188615698948, 0.022854187839533902)",1076
2,0,1,13,"(0.0, 0.0, 0.04198794063234867, 0.0, 0.10087429390457471, 0.013875811363790319, 0.02271982369941325, 0.0, 0.11811188615698948, 0.022854187839533902)",1330
3,0,2,13,"(0.0, 0.0, 0.024765653135150906, 0.0, 0.1333753480910457, 0.013875811363790319, 0.02271982369941325, 0.0, 0.11811188615698948, 0.022854187839533902)",150
4,0,2,13,"(0.0, 0.0, 0.04198794063234867, 0.0, 0.10087429390457471, 0.013875811363790319, 0.02271982369941325, 0.0, 0.11811188615698948, 0.022854187839533902)",1150
