,round,tube,sp,st,final_pop
36,0,2,11,"(0.15402690859223683, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
37,0,2,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",457
38,0,2,13,"(0.0, 0.0, 0.11679612853536596, 0.08552092339835274, 0.09172770611919409, 0.03523484371248832, 0.0, 0.0, 0.14899621190854193, 0.0)",4
39,0,2,13,"(0.0, 0.0, 0.11679612853536596, 0.059507202171369955, 0.09172770611919409, 0.08066719812049906, 0.0, 0.0, 0.17112464583344167, 0.0)",1
40,0,2,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.09829021560168433, 0.0, 0.0, 0.14899621190854193, 0.0)",2
41,0,2,13,"(0.0, 0.0, 0.11679612853536596, 0.059507202171369955, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.1508836465711023, 0.0)",1
42,0,2,13,"(0.0, 0.0, 0.15488496949791475, 0.06920069129515957, 0.09172770611919409, 0.13653139447618973, 0.0, 0.0, 0.061897806079120724, 0.0)",1
43,0,2,13,"(0.0, 0.0, 0.11679612853536596, 0.059507202171369955, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.17112464583344167, 0.0)",22
44,0,2,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",150
45,0,2,13,"(0.0, 0.0, 0.11679612853536596, 0.07460087867795444, 0.08403618193163956, 0.07489992963210028, 0.0, 0.0, 0.17112464583344167, 0.0)",1
46,0,3,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",300
47,0,3,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.05205467438049281, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",2
48,0,3,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09771362140853188, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",2
49,0,3,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.050543091638740566, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",2
50,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.11869170427863487, 0.0, 0.01812760691895582)",3
51,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.022923593350626503)",2
52,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",501
53,0,3,11,"(0.07252951457572615, 0.14970886995698662, 0.0, 0.0, 0.0, 0.016737917519505752, 0.0, 0.08279881135943302, 0.0, 0.03977064895714357)",2
54,0,3,11,"(0.08211836685972507, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
55,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.0245639458500647)",1
56,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.011069344134580744)",1
57,0,3,11,"(0.09033430006888621, 0.18476805924403367, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.008063711956206306)",2
58,0,3,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.024988268047805826)",1
59,0,3,13,"(0.0, 0.0, 0.11679612853536596, 0.06920069129515957, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.14899621190854193, 0.0)",186
60,0,3,13,"(0.0, 0.0, 0.11679612853536596, 0.08344175689269459, 0.09172770611919409, 0.07489992963210028, 0.0, 0.0, 0.1878095967621618, 0.0)",1
61,0,4,8,"(0.09369258606422372, 0.0, 0.09886232529533268, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",353
62,0,4,8,"(0.09369258606422372, 0.0, 0.1256397764913544, 0.09247639241939104, 0.09173902283359818, 0.0, 0.028624918864351683, 0.0, 0.0, 0.0)",3
63,0,4,11,"(0.09033430006888621, 0.21184063268691186, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08042273747450528, 0.0, 0.01812760691895582)",1
64,0,4,11,"(0.09033430006888621, 0.1568536951987942, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
65,0,4,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.07576302023933842, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
66,0,4,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",473
67,0,4,11,"(0.09033430006888621, 0.14970886995698662, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.03475767478028839)",1
68,0,4,11,"(0.1361456211527413, 0.1746006779857492, 0.0, 0.0, 0.0, 0.04688669779969397, 0.0, 0.08279881135943302, 0.0, 0.01812760691895582)",1
