,round,tube0,tube1,tube2
0,0,8,9,6
1,1,8,4,3
2,2,2,8,0
3,3,2,7,6
4,4,5,8,7
5,5,2,6,7
6,6,0,5,2
7,7,2,1,0
8,8,2,4,8
9,9,6,1,2
10,10,9,2,3
11,11,6,3,4
12,12,0,4,6
13,13,6,9,3
14,14,6,4,9
15,15,3,9,1
16,16,6,9,3
17,17,5,9,4
18,18,1,0,8
19,19,5,8,4
20,20,1,3,2
21,21,7,8,5
22,22,9,6,3
23,23,1,7,8
