,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,5,16,15,17,4,0,14
1,1,1,4,10,0,2,13,15
2,2,15,8,1,2,7,18,19
3,3,0,3,13,12,10,20,1
4,4,9,19,7,4,13,6,17
5,5,2,4,1,3,10,7,18
6,6,14,16,12,17,3,9,18
7,7,19,9,13,11,20,14,3
8,8,8,5,6,19,20,7,4
9,9,5,15,11,8,3,13,18
10,10,9,0,2,16,3,20,10
11,11,8,12,13,5,14,20,1
12,12,4,6,3,16,1,12,13
13,13,1,7,0,11,15,10,12
14,14,4,15,18,3,8,11,14
15,15,18,9,5,16,20,4,2
16,16,20,5,3,1,19,12,7
17,17,12,11,8,14,2,20,6
18,18,5,9,11,13,16,19,7
19,19,0,12,5,11,9,17,4
20,20,0,2,16,14,17,3,19
21,21,9,4,2,19,5,7,13
22,22,1,15,2,16,12,0,8
23,23,3,2,20,6,7,9,12
24,24,14,4,6,10,18,11,1
25,25,14,2,17,12,18,3,5
26,26,0,11,10,16,20,4,3
27,27,15,9,18,16,5,12,10
28,28,16,6,14,10,20,12,15
29,29,8,7,17,16,20,19,12
30,30,10,3,14,4,8,5,12
31,31,12,4,5,0,1,9,16
32,32,13,4,5,9,11,6,17
33,33,1,19,2,13,18,20,15
34,34,1,5,2,6,7,0,17
35,35,14,10,5,8,12,20,6
36,36,5,20,12,14,11,6,10
37,37,5,11,15,19,13,0,17
38,38,18,8,9,10,4,14,7
39,39,20,14,10,9,18,15,12
40,40,3,19,18,15,1,2,0
41,41,1,5,12,18,4,10,9
42,42,19,9,6,12,10,11,8
43,43,16,12,15,3,8,11,10
44,44,7,13,11,12,16,2,17
45,45,20,17,5,11,3,1,4
46,46,1,5,14,2,12,8,20
47,47,7,3,13,14,5,8,11
48,48,17,8,16,6,7,3,2
