,round,tube0,tube1,tube2
0,0,4,0,6
1,1,4,0,7
2,2,4,8,6
3,3,9,8,7
4,4,3,4,6
5,5,1,3,8
6,6,6,8,4
7,7,7,6,1
8,8,7,1,0
9,9,3,6,9
10,10,8,9,6
11,11,2,9,7
12,12,8,9,6
13,13,1,0,4
14,14,8,3,9
15,15,0,7,4
16,16,8,3,6
17,17,4,5,6
18,18,8,9,4
19,19,6,9,7
20,20,7,2,1
21,21,1,5,4
22,22,5,1,9
23,23,1,0,5
