,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,11,1,20,9,14,13,17
1,1,0,1,2,7,6,8,9
2,2,0,4,1,2,18,12,11
3,3,8,7,5,20,3,6,9
4,4,13,12,14,15,2,6,0
5,5,8,1,0,15,11,9,5
6,6,15,8,7,20,6,9,11
7,7,10,8,4,5,11,16,19
8,8,5,7,1,0,12,20,11
9,9,3,12,4,10,7,8,6
10,10,15,0,6,7,9,19,2
11,11,1,4,20,18,12,8,19
12,12,3,20,11,2,12,9,16
13,13,4,6,15,5,14,18,17
14,14,7,19,2,20,17,0,11
15,15,12,1,13,17,5,20,4
16,16,5,17,15,2,18,4,9
17,17,13,11,19,5,8,14,20
18,18,0,10,15,12,6,14,18
19,19,8,4,6,9,12,13,5
20,20,3,11,13,6,5,8,20
21,21,16,14,12,1,8,3,20
22,22,8,5,7,14,20,3,18
23,23,12,19,6,11,16,7,13
24,24,7,9,15,6,5,12,8
25,25,8,17,0,10,16,14,20
26,26,2,10,9,4,18,6,11
27,27,4,12,2,13,0,1,9
28,28,3,20,18,5,16,11,6
29,29,1,9,13,4,11,15,14
30,30,2,6,16,0,19,5,13
31,31,13,12,4,3,19,7,8
32,32,11,3,19,16,10,8,17
33,33,2,10,15,9,17,4,11
34,34,3,12,4,19,7,13,18
35,35,10,9,6,8,0,17,7
36,36,14,11,7,5,18,2,16
37,37,4,1,2,0,7,11,3
38,38,11,17,19,15,0,5,2
39,39,16,19,0,12,7,17,2
40,40,4,6,9,19,15,8,7
41,41,2,6,0,10,4,5,20
42,42,19,10,11,4,9,12,17
43,43,10,0,3,9,6,12,2
44,44,15,11,16,5,0,9,6
45,45,5,1,4,20,12,11,19
46,46,19,13,14,9,5,17,4
47,47,3,5,13,6,18,0,8
48,48,10,4,2,3,7,14,17
